id,T,U,obs.D0,obs.D1,obs.D2,Q1,Q2,SC1.D0,SC1.D1,SC1.D2,SC2.D0,SC2.D1,SC2.D2,SC3.D0,SC3.D1,SC3.D2,SC4.D0,SC4.D1,SC4.D2,SC5.D0,SC5.D1,SC5.D2,SC6.D0,SC6.D1,SC6.D2,SC7.D0,SC7.D1,SC7.D2
0_1,4,6,4,3.464,3,3,0,2.5,2.381,2.25,2.5,2.381,2.25,2.5,2.381,2.25,2.5,2.381,2.25,2.5,2.381,2.25,2.5,2.381,2.25,4,3.464,3
0_11,6,8,3,2.828,2.667,0,2,1.333,1.333,1.333,1.333,1.333,1.333,1.333,1.333,1.333,2.133,2.021,1.905,2.6,2.399,2.222,2.867,2.62,2.424,3,2.754,2.564
0_2,21,28,6,4.134,3.35,1,3,1.333,1.333,1.333,2.743,2.516,2.305,3.489,3.04,2.697,4.485,3.563,3.043,5.219,3.846,3.201,5.724,4.022,3.292,6.037,4.155,3.362
0_24,10,13,7,5.433,4.333,5,0,1.3,1.3,1.3,1.3,1.3,1.3,2.311,2.229,2.127,3.81,3.471,3.12,4.967,4.295,3.695,6,4.919,4.07,7.474,5.66,4.438
1_0,5,6,4,3.464,3,3,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.1,2.018,1.92,3.4,3.067,2.743,3.4,3.067,2.743,4,3.464,3
1_10,12,15,9,8.035,7.258,5,2,1.25,1.25,1.25,2.379,2.337,2.279,3.395,3.285,3.141,5.129,4.837,4.503,6.523,6.032,5.532,7.65,6.967,6.335,9,8.035,7.258
10_49,86,118,15,9.318,7.082,4,1,1.372,1.372,1.372,7.269,6.109,5.162,9.642,7.465,6.04,12.014,8.501,6.651,13.365,8.941,6.892,14.472,9.214,7.032,14.953,9.309,7.078
100_16,23,40,15,11.31,8.989,7,2,1.739,1.739,1.739,4.46,4.24,3.972,6.501,5.944,5.344,9.984,8.503,7.212,11.882,9.703,8.013,13.733,10.716,8.644,15,11.31,8.989
100_70,12,13,6,5.111,4.568,3,0,1.083,1.083,1.083,1.985,1.929,1.855,2.732,2.594,2.433,3.861,3.548,3.241,4.649,4.18,3.778,5.241,4.626,4.162,6,5.111,4.568
101_17,22,32,14,10.041,7.529,8,3,1.455,1.455,1.455,3.74,3.557,3.332,5.485,5.01,4.492,8.135,6.934,5.849,10.717,8.47,6.761,12.467,9.349,7.211,14.351,10.191,7.595
101_18,7,7,5,4.711,4.455,3,2,1,1,1,1,1,1,1.905,1.872,1.826,2.714,2.629,2.52,3.429,3.281,3.111,4.048,3.84,3.621,5,4.711,4.455
101_62,5,6,4,3.464,3,3,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.1,2.018,1.92,3.4,3.067,2.743,3.4,3.067,2.743,4,3.464,3
