"id","SC"
"0_0",0.9875
"0_13",1
"0_16",0.8352
"0_17",0.6322
"0_2",0.7548
"0_3",0.8
"0_4",0.7778
"0_5",0.5714
"0_6",0.769
"0_9",1
"1_0",0.8174
"1_10",1
"1_12",1
"1_16",0.7838
"1_17",0.9755
"1_6",0.8333
"10_1",1
"10_11",0.7534
"10_12",0.9763
"10_13",0.9513
"10_17",0.6667
"10_8",0.9374
"10_9",0.9531
"11_0",1
"11_10",0.9433
"11_11",0.9578
"11_12",0.9603
"11_13",0.9694
"11_16",1
"11_17",0.6667
"11_3",0.6667
"11_5",1
"11_7",1
"11_8",0.8918
"11_9",1
"12_0",1
"12_1",0.7508
"12_10",0.8924
"12_11",0.9303
"12_12",0.9626
"12_13",0.9207
"12_14",0.9596
"12_15",0.9353
"12_16",0.7333
"12_17",0.8333
"12_2",0.9659
"12_3",0.9314
"12_4",1
"12_6",0.9099
"12_7",1
"12_8",1
"12_9",0.7551
"13_0",0.9091
"13_1",0.9452
"13_10",0.9886
"13_11",0.9821
"13_12",0.9417
"13_13",0.9757
"13_14",0.9861
"13_15",0.9971
"13_16",1
"13_17",0.8095
"13_2",1
"13_3",0.9724
"13_4",0.986
"13_5",0.9698
"13_6",1
"14_0",0.941
"14_1",0.8029
"14_10",0.8025
"14_11",0.9676
"14_14",1
"14_15",0.9951
"14_16",1
"14_17",0.3403
"14_3",0.7587
"15_0",0.8
"15_1",0.3939
"15_10",0.8929
"15_15",0.7766
"15_16",0.2527
"15_17",0.7046
"15_3",1
"15_4",0.9327
"15_5",1
"15_9",1
"16_0",0.7407
"16_1",0.782
"16_10",1
"16_11",1
"16_13",1
"16_14",1
"16_15",1
"16_16",0.2
"16_17",1
"16_2",0.25
"16_3",1
"16_5",0.9555
"16_8",1
"16_9",0.6667
"17_1",0.8985
"17_14",0.3333
"17_15",1
"17_17",0.1667
"17_3",1
"17_6",1
"17_7",1
"17_8",0.6786
"18_0",0.2
"18_1",0.8326
"18_11",0.8788
"18_12",1
"18_14",0.775
"18_17",0.6601
"18_5",1
"18_8",1
"19_0",0.6429
"19_1",1
"19_10",1
"19_11",0.6667
"19_12",1
"19_13",0.979
"19_14",0.8839
"19_15",0.9737
"19_16",0.25
"19_17",0.3132
"2_0",0.55
"2_10",1
"2_12",0.9721
"2_14",1
"2_16",0.9143
"2_17",0.1818
"2_5",0.6
"2_9",0.8333
"20_0",0.8497
"20_13",0.9449
"20_14",0.9912
"20_15",0.9863
"20_16",0.9992
"20_17",0.443
"20_3",1
"21_14",0.9942
"21_15",0.9979
"21_16",0.9997
"21_17",0.9757
"21_4",1
"21_6",1
"22_14",1
"22_15",0.9977
"22_16",0.9952
"22_17",0.9782
"22_3",1
"22_4",1
"22_9",0.5
"23_13",1
"23_14",0.954
"23_15",0.9871
"23_16",0.9917
"23_17",0.9715
"23_3",0.9891
"23_4",0.9584
"23_5",0.8333
"23_6",1
"23_7",1
"24_14",0.984
"24_15",0.7328
"24_17",0.9298
"24_3",0.9839
"25_12",0.8686
"25_13",0.9468
"25_14",0.884
"25_15",0.9662
"25_17",0.9649
"25_4",0.8944
"25_5",0.52
"26_10",1
"26_11",0.6617
"26_12",0.8307
"26_14",0.8444
"26_15",1
"26_17",0.4857
"26_2",0.3333
"26_5",0.7474
"26_6",1
"26_7",0.7586
"26_8",0.9097
"27_10",1
"27_13",0.6667
"27_4",1
"27_6",0.8797
"27_7",0.6566
"28_0",0.6667
"28_11",0.4857
"28_12",0.8694
"28_13",1
"28_17",0.625
"28_5",0.8207
"28_8",0.5625
"29_0",1
"29_12",1
"29_17",0.25
"3_12",0.75
"3_16",0.9193
"3_17",0.7293
"3_5",1
"3_6",0.9522
"30_0",1
"30_1",0.8333
"30_10",0.4857
"30_11",0.9659
"30_12",0.9136
"30_2",1
"30_7",0.6667
"30_8",1
"30_9",0.9742
"31_0",0.6667
"31_10",0.0625
"31_11",0.9632
"31_17",1
"31_9",1
"32_10",0.7679
"32_12",1
"33_0",0.8889
"33_10",0.9414
"33_11",0.7619
"33_17",1
"33_7",0.6667
"33_9",0.4764
"34_0",1
"34_10",0.646
"34_11",0.249
"34_12",0.3506
"34_17",1
"34_7",0.4764
"34_8",0.9444
"34_9",0.9601
"35_0",1
"35_10",0.8214
"35_11",1
"35_12",0.9527
"35_17",0.5
"35_3",0.8492
"35_4",0.931
"35_5",0.6731
"35_6",1
"35_7",0.9235
"35_8",1
"35_9",0.8025
"36_10",0.9182
"36_11",0.8549
"36_12",0.8868
"36_13",1
"36_14",0.9387
"36_2",1
"36_3",1
"36_5",0.8889
"36_6",0.9502
"36_7",0.9432
"36_8",0.5294
"36_9",0.958
"37_10",0.8249
"37_13",0.7257
"37_14",0.8879
"37_15",0.9405
"37_17",1
"37_2",1
"37_3",0.7923
"37_4",0.6571
"37_6",0.6667
"37_7",0.8359
"37_8",0.8804
"37_9",0.6
"38_0",0.3386
"38_10",1
"38_13",1
"38_14",0.9282
"38_15",0.7192
"38_17",0.6667
"38_3",0.9951
"38_4",1
"38_7",0.7545
"38_8",1
"39_0",1
"39_1",1
"39_10",1
"39_11",0.9378
"39_15",0.7619
"39_17",1
"39_2",0.981
"39_3",0.9897
"39_4",0.9449
"39_5",0.7135
"39_6",0.9479
"39_7",0.1176
"39_8",0.7619
"4_1",1
"4_16",0.2895
"4_17",0.6142
"4_5",1
"4_6",1
"4_7",1
"40_1",0.8542
"40_10",0.1818
"40_13",1
"40_16",0.625
"40_3",0.1111
"40_4",0.9859
"40_5",0.8397
"40_7",0.9085
"40_8",0.6667
"41_0",0.7861
"41_1",0.65
"41_10",0.9576
"41_16",0.4286
"41_17",1
"41_2",0.872
"41_3",0.25
"41_4",0.7176
"41_5",0.9826
"41_6",0.8333
"41_7",0.7714
"41_9",0.8442
"42_0",0.99
