"id","SC"
"0_0",0.7656
"0_1",0.9725
"0_10",0.6667
"0_11",1
"0_12",0.808
"0_18",1
"0_32",0.8333
"0_33",1
"0_34",1
"0_35",1
"0_5",0.7757
"0_7",0.8
"0_8",1
"0_9",1
"1_0",0.5918
"1_11",0.5091
"1_13",1
"1_26",1
"1_32",1
"1_33",0.8364
"1_34",0.4432
"1_35",0.4
"1_5",1
"10_28",1
"10_32",0.6932
"10_33",0.9868
"10_35",1
"11_15",1
"11_30",1
"11_31",0.8889
"11_32",0.9881
"11_33",0.9619
"11_35",0.6667
"12_0",1
"12_1",0.8333
"12_29",0.1818
"12_30",0.9151
"12_31",0.9423
"12_32",0.9818
"12_33",0.6667
"13_1",1
"13_28",0.8917
"13_29",0.9939
"13_30",0.9888
"13_31",0.9966
"13_32",0.9807
"14_1",1
"14_26",1
"14_27",0.5098
"14_28",0.9893
"14_29",0.9698
"15_1",1
"15_26",0.8514
"15_27",0.9668
"15_28",0.9658
"15_35",1
"16_1",1
"16_12",1
"16_25",0.9032
"16_26",0.9118
"16_27",0.8992
"16_9",1
"17_24",0.7594
"17_25",0.9615
"17_26",1
"17_35",1
"17_9",0.7333
"18_1",1
"18_20",1
"18_21",1
"18_22",0.6667
"18_23",0.7545
"18_24",0.9742
"19_23",0.419
"19_24",0.2615
"19_25",1
"19_26",1
"2_0",0.619
"2_13",0.8333
"2_32",1
"2_33",0.8929
"2_34",0.6667
"2_35",0.9429
"20_23",0.7707
"20_24",0.8519
"20_26",0.7975
"20_27",0.9111
"20_35",1
"21_17",0.9374
"21_18",0.9531
"21_2",1
"21_22",0.6667
"21_24",0.8992
"21_25",0.9666
"21_26",0.9774
"21_27",1
"21_34",1
"22_1",1
"22_11",1
"22_19",1
"22_21",0.6554
"22_22",1
"22_23",0.9547
"22_24",0.9884
"22_25",0.1429
"22_26",0.9623
"22_27",0.7223
"22_35",1
"22_6",1
"23_15",1
"23_16",0.873
"23_17",0.8425
"23_20",0.5014
"23_21",0.9703
"23_22",0.7083
"23_23",1
"23_24",0.9237
"23_25",0.9456
"23_26",0.9443
"23_27",0.9433
"23_33",1
"23_34",1
"23_35",1
"23_7",1
"24_1",1
"24_13",1
"24_14",1
"24_15",1
"24_17",1
"24_18",0.7333
"24_19",0.6667
"24_2",1
"24_20",0.2242
"24_21",0.9035
"24_23",0.953
"24_24",0.9135
"24_25",0.9673
"24_26",0.8982
"24_27",0.9319
"24_28",0.7965
"24_29",0.9524
"24_32",0.6667
