id,T,U,obs.D0,obs.D1,obs.D2,Q1,Q2,SC1.D0,SC1.D1,SC1.D2,SC2.D0,SC2.D1,SC2.D2,SC3.D0,SC3.D1,SC3.D2,SC4.D0,SC4.D1,SC4.D2,SC5.D0,SC5.D1,SC5.D2,SC6.D0,SC6.D1,SC6.D2,SC7.D0,SC7.D1,SC7.D2
0_0,43,62,13,9.48,7.537,1,6,1.442,1.442,1.442,5.22,4.753,4.27,7.799,6.62,5.658,10.197,8.03,6.613,11.801,8.82,7.113,12.697,9.264,7.393,13,9.48,7.537
0_16,19,23,8,5.471,4.232,4,2,1.211,1.211,1.211,2.123,2.041,1.942,3.401,3.09,2.784,5.032,4.183,3.554,6.281,4.805,3.915,7.333,5.23,4.125,8,5.471,4.232
0_17,15,21,11,7.177,4.546,8,2,1.4,1.4,1.4,2.438,2.341,2.225,3.299,3.049,2.769,5.514,4.554,3.664,7.514,5.633,4.107,9.343,6.482,4.371,11,7.177,4.546
0_2,21,27,14,11.567,9.468,7,4,1.286,1.286,1.286,3.517,3.405,3.254,5.391,5.078,4.691,8.395,7.553,6.647,10.715,9.298,7.917,12.546,10.586,8.808,14.315,11.775,9.606
0_4,5,6,3,2.381,2,2,0,2.6,2.2,1.92,2.6,2.2,1.92,2.6,2.2,1.92,1.8,1.697,1.6,1.8,1.697,1.6,1.8,1.697,1.6,3,2.381,2
0_5,7,8,6,5.657,5.333,4,2,1.143,1.143,1.143,1.143,1.143,1.143,2.19,2.157,2.11,3.143,3.055,2.939,4,3.844,3.657,4.762,4.535,4.286,6,5.657,5.333
0_6,14,21,9,6.745,5.313,5,1,1.5,1.5,1.5,2.659,2.563,2.445,3.588,3.355,3.094,5.609,4.875,4.214,7.072,5.785,4.793,7.893,6.226,5.044,9.346,6.891,5.383
1_0,8,15,7,6.089,5.488,3,1,1.875,1.875,1.875,1.875,1.875,1.875,3.286,3.159,3.006,4.339,4.057,3.762,5.732,5.181,4.71,6.214,5.549,5.027,7,6.089,5.488
1_12,7,7,3,2.942,2.882,0,2,1,1,1,1,1,1,1.762,1.696,1.615,2.314,2.174,2.032,2.686,2.499,2.333,2.905,2.715,2.561,2.905,2.715,2.561
1_16,25,27,11,7.695,5.651,6,2,1.08,1.08,1.08,2.771,2.634,2.464,4.615,4.13,3.626,6.836,5.635,4.615,8.561,6.591,5.141,9.998,7.272,5.468,11.234,7.789,5.69
1_17,46,78,10,6.041,4.623,2,2,1.696,1.696,1.696,4.648,4.021,3.517,6.233,4.89,4.062,7.972,5.54,4.403,8.939,5.8,4.521,9.653,5.965,4.591,10,6.041,4.623
1_6,7,9,4,3.37,3,2,0,1.286,1.286,1.286,1.286,1.286,1.286,2.143,2.041,1.929,2.714,2.509,2.314,3.714,3.221,2.893,3.429,3.044,2.755,4,3.37,3
10_11,22,32,13,9.531,7.642,8,0,1.455,1.455,1.455,3.743,3.565,3.347,5.446,5,4.525,7.858,6.816,5.912,10.035,8.172,6.849,11.174,8.756,7.212,13,9.531,7.642
10_12,74,163,27,18.854,14.671,4,5,2.203,2.203,2.203,12.454,10.88,9.404,17.303,14.092,11.644,22.077,16.672,13.316,24.797,17.902,14.08,26.293,18.542,14.475,27,18.854,14.671
10_13,93,184,24,12.986,9.859,9,2,1.978,1.978,1.978,10.532,8.784,7.453,13.5,10.373,8.514,17.559,11.787,9.324,20.292,12.403,9.619,22.594,12.792,9.784,24.096,12.998,9.864
10_8,72,95,15,5.547,2.98,6,2,1.319,1.319,1.319,4.832,3.453,2.61,7.091,4.177,2.792,10.426,4.915,2.911,12.474,5.243,2.95,14.034,5.442,2.97,15,5.547,2.98
10_9,13,16,4,2.588,1.969,1,2,1.231,1.231,1.231,1.731,1.631,1.544,2.077,1.855,1.688,2.667,2.136,1.823,3.359,2.382,1.91,3.692,2.486,1.94,4,2.588,1.969
11_10,73,122,22,12.972,9.279,7,3,1.671,1.671,1.671,8.269,7.153,6.13,11.649,9.225,7.456,16.219,11.273,8.547,19.005,12.199,8.966,20.985,12.735,9.187,22,12.972,9.279
11_11,103,165,19,7.896,4.861,7,2,1.602,1.602,1.602,7.732,5.593,4.222,10.237,6.458,4.528,13.751,7.236,4.734,16.119,7.588,4.807,17.86,7.788,4.843,19.068,7.902,4.862
11_12,262,402,32,9.163,5.2,16,3,1.534,1.534,1.534,11.846,7.165,4.831,16.085,8.014,5.035,21.501,8.615,5.137,25.812,8.9,5.174,29.29,9.062,5.191,31.755,9.155,5.2
11_13,196,260,26,11.655,7.38,8,4,1.327,1.327,1.327,11.307,8.23,6.176,15.403,9.766,6.813,19.64,10.798,7.157,22.555,11.262,7.285,24.914,11.545,7.355,26.041,11.659,7.381
11_8,31,45,11,6.509,4.655,5,2,1.452,1.452,1.452,3.911,3.501,3.111,5.355,4.436,3.718,7.314,5.394,4.225,8.764,5.917,4.448,10.15,6.307,4.59,11.157,6.544,4.666
12_1,22,31,15,11.522,8.658,8,3,1.409,1.409,1.409,3.746,3.593,3.393,5.651,5.229,4.724,8.699,7.57,6.395,11.618,9.531,7.595,13.46,10.652,8.211,15,11.522,8.658
12_10,61,92,24,16.594,13.266,10,3,1.508,1.508,1.508,7.988,7.336,6.625,12.364,10.694,9.237,16.764,13.513,11.291,19.936,15.098,12.36,22.463,16.089,12.975,24,16.594,13.266
12_11,28,42,8,5.116,4.046,3,1,1.5,1.5,1.5,3.165,2.905,2.655,4.441,3.779,3.288,5.858,4.489,3.733,6.659,4.776,3.888,7.438,4.991,3.991,8,5.116,4.046
12_12,99,133,16,7.555,4.861,5,1,1.343,1.343,1.343,6.644,5.061,4.005,9.256,6.058,4.422,12.405,6.921,4.698,13.982,7.253,4.788,15.163,7.447,4.836,16.15,7.572,4.865
12_13,80,99,24,15.349,11.383,8,6,1.238,1.238,1.238,7.897,7.093,6.259,11.705,9.809,8.221,16.778,12.614,9.982,20.189,14.038,10.749,22.667,14.913,11.179,24.098,15.381,11.398
12_14,236,296,38,22.3,16.701,12,4,1.254,1.254,1.254,17.037,14.143,11.734,23.001,17.612,14.034,29.18,20.232,15.626,33.22,21.372,16.248,36.238,21.999,16.56,38.202,22.332,16.716
12_15,26,44,9,5.811,4.44,3,2,1.692,1.692,1.692,3.566,3.259,2.964,5.105,4.279,3.65,6.575,5.028,4.079,7.567,5.407,4.267,8.502,5.684,4.389,9.11,5.838,4.451
12_16,5,5,3,2.586,2.273,2,0,1,1,1,1,1,1,1,1,1,1.7,1.625,1.538,2.6,2.337,2.105,2.2,2.037,1.875,3,2.586,2.273
12_2,148,292,37,22.086,15.907,10,4,1.973,1.973,1.973,16.869,13.924,11.392,23.17,17.493,13.548,29.298,20.102,14.964,32.883,21.195,15.504,35.346,21.768,15.768,37,22.086,15.907
12_3,87,174,24,10.513,7.58,12,3,2,2,2,8.392,6.947,5.917,11.674,8.406,6.792,15.811,9.456,7.262,19.294,10.006,7.447,22.141,10.335,7.537,24,10.513,7.58
12_6,26,32,6,4.039,3.507,3,0,1.231,1.231,1.231,2.631,2.43,2.238,3.545,3.125,2.813,4.263,3.565,3.186,4.615,3.709,3.298,4.615,3.709,3.298,6,4.039,3.507
12_7,30,46,6,4.513,3.904,0,2,1.533,1.533,1.533,3.565,3.201,2.899,4.351,3.733,3.322,5.207,4.164,3.65,5.706,4.356,3.787,5.952,4.461,3.863,5.995,4.495,3.889
12_9,7,7,4,3.586,3.267,2,1,1,1,1,1,1,1,1.81,1.753,1.68,2.457,2.323,2.172,2.971,2.759,2.545,3.381,3.098,2.838,4,3.586,3.267
13_0,21,30,10,7.694,6.164,3,3,1.429,1.429,1.429,3.532,3.328,3.091,5.021,4.527,4.028,7.055,5.962,5.049,8.401,6.792,5.594,9.34,7.327,5.933,10,7.694,6.164
13_1,59,90,17,11.869,9.83,5,2,1.525,1.525,1.525,7.219,6.494,5.792,9.994,8.522,7.379,12.937,10.28,8.717,14.878,11.151,9.345,16.19,11.621,9.667,17,11.869,9.83
13_10,94,171,18,9.957,6.431,2,2,1.819,1.819,1.819,9.123,6.905,5.334,12.123,8.149,5.842,15.408,9.218,6.203,16.879,9.639,6.333,17.654,9.858,6.4,18.041,9.969,6.434
13_11,187,388,21,7.923,6.165,7,4,2.075,2.075,2.075,9.231,6.704,5.664,11.973,7.25,5.941,15.451,7.619,6.081,17.978,7.783,6.13,19.993,7.881,6.155,20.925,7.92,6.165
13_12,29,32,7,5.128,4.197,2,0,1.103,1.103,1.103,3.132,2.856,2.581,4.245,3.666,3.192,5.51,4.436,3.736,6.137,4.759,3.955,6.649,4.995,4.111,7.064,5.151,4.211
13_13,24,79,12,9.565,8.632,2,1,3.292,3.292,3.292,6.814,6.278,5.779,8.428,7.515,6.807,10.133,8.698,7.856,11.037,9.17,8.282,11.537,9.387,8.475,12.08,9.593,8.657
13_14,187,355,31,17.868,13.835,5,5,1.898,1.898,1.898,15.978,12.923,10.79,20.783,15.252,12.349,25.59,16.76,13.249,28.416,17.382,13.585,30.166,17.715,13.757,30.946,17.858,13.83
