id,T,U,obs.D0,obs.D1,obs.D2,Q1,Q2,SC1.D0,SC1.D1,SC1.D2,SC2.D0,SC2.D1,SC2.D2,SC3.D0,SC3.D1,SC3.D2,SC4.D0,SC4.D1,SC4.D2,SC5.D0,SC5.D1,SC5.D2,SC6.D0,SC6.D1,SC6.D2,SC7.D0,SC7.D1,SC7.D2
13_15,1048,2098,40,13.743,9.67,6,4,2.002,2.002,2.002,25.121,12.769,9.384,29.98,13.259,9.54,34.556,13.552,9.622,36.884,13.65,9.648,39.157,13.721,9.665,39.777,13.737,9.669
13_16,358,733,11,6.514,5.602,1,0,2.047,2.047,2.047,8.368,6.179,5.376,9.309,6.359,5.503,10.257,6.463,5.571,10.588,6.489,5.587,10.994,6.514,5.602,10.994,6.514,5.602
13_17,13,18,10,9.172,8.526,4,4,1.385,1.385,1.385,2.641,2.597,2.535,3.776,3.659,3.505,5.711,5.402,5.052,7.879,7.287,6.721,8.916,8.188,7.552,10,9.172,8.526
13_2,72,119,9,5.792,4.716,1,0,1.653,1.653,1.653,5.407,4.509,3.901,6.69,5.129,4.321,7.886,5.517,4.558,8.508,5.672,4.647,8.855,5.757,4.696,8.972,5.786,4.712
13_3,17,29,8,6.852,6.05,1,2,1.706,1.706,1.706,3.007,2.895,2.758,4.806,4.393,3.988,6.354,5.57,4.929,7.383,6.332,5.567,7.778,6.646,5.851,8,6.852,6.05
13_4,119,209,21,11.224,8.215,3,4,1.756,1.756,1.756,9.849,7.871,6.551,13.376,9.344,7.391,17.181,10.414,7.888,19.302,10.877,8.078,20.486,11.117,8.173,21,11.224,8.215
13_5,52,98,10,6.624,5.723,3,1,1.885,1.885,1.885,5.609,4.914,4.382,6.875,5.728,5.051,7.922,6.195,5.428,8.846,6.437,5.605,9.517,6.555,5.682,10.057,6.631,5.728
13_6,25,53,8,6.871,6.37,1,0,2.12,2.12,2.12,4.622,4.283,3.95,6.247,5.562,5.037,7.191,6.311,5.758,7.593,6.616,6.084,7.795,6.756,6.239,7.92,6.831,6.324
14_0,55,115,23,14.295,10.796,7,6,2.091,2.091,2.091,8.407,7.501,6.625,12.266,10.093,8.459,16.499,12.198,9.75,19.615,13.322,10.34,21.866,13.987,10.656,23.123,14.328,10.811
14_1,23,38,18,14.752,12.237,8,6,1.652,1.652,1.652,4.502,4.356,4.16,6.866,6.462,5.974,11.331,10.104,8.877,13.95,12.029,10.308,16.464,13.743,11.53,18,14.752,12.237
14_10,15,29,13,10.759,9.242,6,2,1.933,1.933,1.933,3.571,3.478,3.354,4.965,4.729,4.443,8.077,7.321,6.578,10.178,8.909,7.832,11.736,9.98,8.657,13,10.759,9.242
14_11,150,338,27,9.641,6.547,11,3,2.253,2.253,2.253,10.713,7.552,5.914,14.153,8.422,6.252,18.909,9.075,6.436,22.471,9.374,6.5,25.474,9.562,6.534,27.291,9.655,6.549
14_15,934,1439,26,7.595,4.894,7,1,1.541,1.541,1.541,14.782,7.126,4.801,17.942,7.362,4.854,21.07,7.494,4.878,23.343,7.552,4.888,25.438,7.587,4.893,25.438,7.587,4.893
14_16,564,768,10,5.841,4.754,1,0,1.362,1.362,1.362,8.018,5.567,4.583,8.765,5.709,4.674,9.38,5.796,4.727,9.993,5.84,4.754,9.993,5.84,4.754,9.993,5.84,4.754
14_17,10,13,11,10.503,9.941,9,2,1.3,1.3,1.3,1.3,1.3,1.3,2.556,2.539,2.514,4.933,4.843,4.716,7.133,6.928,6.661,9.156,8.81,8.392,11,10.503,9.941
14_3,29,37,13,6.715,3.991,9,1,1.276,1.276,1.276,3.502,3.098,2.706,5.073,4.045,3.222,7.626,5.182,3.65,9.433,5.798,3.814,11.423,6.349,3.929,13.308,6.781,4.001
15_0,4,6,4,3.78,3.6,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.667,2.572,2.455,2.667,2.572,2.455,4,3.78,3.6
15_1,6,6,5,4.762,4.5,4,1,1,1,1,1,1,1,1,1,1,1.933,1.91,1.875,2.8,2.735,2.647,3.6,3.482,3.333,5,4.762,4.5
15_10,7,7,3,2.6,2.333,1,1,1,1,1,1,1,1,1.667,1.587,1.5,2.114,1.953,1.8,2.429,2.197,2,2.667,2.37,2.143,3,2.6,2.333
15_15,28,31,13,9.962,8.076,7,1,1.107,1.107,1.107,2.988,2.883,2.744,5.179,4.791,4.354,8.198,7.128,6.161,9.983,8.325,7.017,11.717,9.329,7.686,13.247,10.073,8.141
15_16,8,9,8,7.715,7.364,7,1,1.125,1.125,1.125,1.125,1.125,1.125,2.214,2.201,2.181,3.268,3.23,3.174,5.268,5.151,4.991,6.214,6.047,5.825,8,7.715,7.364
15_17,19,26,13,9.441,6.76,8,3,1.368,1.368,1.368,2.52,2.453,2.363,4.405,4.087,3.713,7.316,6.251,5.196,9.675,7.708,5.995,11.684,8.791,6.493,13,9.441,6.76
15_3,25,29,3,1.828,1.515,1,0,1.16,1.16,1.16,1.624,1.479,1.386,2.021,1.634,1.456,2.402,1.736,1.491,2.595,1.775,1.503,2.8,1.806,1.51,2.8,1.806,1.51
15_4,21,27,6,4.803,4.314,2,0,1.286,1.286,1.286,2.936,2.735,2.528,3.86,3.47,3.133,4.762,4.154,3.728,5.232,4.472,4.022,5.524,4.624,4.161,6.087,4.831,4.337
15_5,9,15,4,3.906,3.814,0,0,1.667,1.667,1.667,1.667,1.667,1.667,2.722,2.585,2.439,3.714,3.416,3.175,3.897,3.604,3.378,4,3.805,3.646,4,3.805,3.646
16_0,8,9,6,5.67,5.4,3,3,1.125,1.125,1.125,1.125,1.125,1.125,2.143,2.106,2.054,3.054,2.958,2.835,4.554,4.32,4.073,5.143,4.852,4.573,6,5.67,5.4
16_1,14,21,10,7.698,5.88,5,3,1.5,1.5,1.5,2.703,2.616,2.505,3.709,3.486,3.224,6.064,5.289,4.525,7.857,6.456,5.228,8.827,7.033,5.541,10,7.698,5.88
16_5,46,66,10,6.722,5.404,3,0,1.435,1.435,1.435,4.559,4.054,3.593,6.292,5.209,4.425,7.811,6.012,4.97,8.8,6.399,5.216,9.539,6.617,5.345,10.064,6.736,5.412
17_1,39,66,18,10.311,7.026,7,6,1.692,1.692,1.692,5.727,5.099,4.492,8.16,6.66,5.504,11.843,8.353,6.345,14.358,9.229,6.68,16.566,9.899,6.901,18.172,10.36,7.04
17_8,7,8,4,2.926,2.286,3,0,3.571,2.752,2.224,3.571,2.752,2.224,3.571,2.752,2.224,3.571,2.752,2.224,3.143,2.558,2.143,3.143,2.558,2.143,4,2.926,2.286
18_1,18,23,8,6.104,5.136,4,0,1.278,1.278,1.278,2.294,2.218,2.121,3.774,3.475,3.167,5.529,4.792,4.203,6.388,5.338,4.614,7.106,5.723,4.888,8.214,6.185,5.184
18_11,11,15,5,3.906,3.358,2,1,1.364,1.364,1.364,2.255,2.145,2.025,2.855,2.629,2.416,3.621,3.189,2.857,4.164,3.516,3.099,4.618,3.74,3.252,5.165,3.972,3.4
18_14,10,12,6,5.264,4.8,3,0,1.2,1.2,1.2,1.2,1.2,1.2,2.2,2.138,2.057,3.7,3.456,3.2,4.7,4.29,3.927,5.4,4.85,4.431,6,5.264,4.8
18_17,16,25,15,12.722,10.593,9,4,1.562,1.562,1.562,2.983,2.935,2.865,5.476,5.231,4.914,8.559,7.875,7.084,11.088,9.88,8.604,13.211,11.456,9.728,15,12.722,10.593
19_0,9,16,9,7.493,6.4,6,0,1.778,1.778,1.778,1.778,1.778,1.778,3.222,3.122,2.994,5.389,4.981,4.551,6.23,5.648,5.079,7.667,6.684,5.856,9.635,7.844,6.615
19_13,102,187,21,10.979,7.373,4,4,1.833,1.833,1.833,9.863,7.618,6.022,12.971,8.956,6.649,16.752,10.107,7.093,18.959,10.594,7.254,20.322,10.854,7.335,20.961,10.972,7.371
19_14,14,16,4,2.276,1.707,2,1,1.143,1.143,1.143,1.549,1.462,1.39,1.824,1.634,1.498,2.549,1.929,1.624,3.176,2.101,1.671,3.538,2.183,1.689,4,2.276,1.707
19_15,16,67,11,8.842,8.059,2,2,4.187,4.188,4.188,6.333,5.973,5.63,8.171,7.386,6.802,9.269,8.134,7.467,10,8.486,7.772,10.575,8.7,7.946,11.11,8.878,8.089
19_17,11,14,12,11.485,10.889,10,2,1.273,1.273,1.273,2.509,2.496,2.475,3.709,3.67,3.612,6,5.879,5.711,8.145,7.911,7.605,10.145,9.776,9.323,12,11.485,10.889
2_12,143,213,22,11.387,8.15,6,4,1.49,1.49,1.49,9.953,7.916,6.424,13.321,9.489,7.317,16.915,10.552,7.828,19.268,11.001,8.01,21.081,11.268,8.108,21.958,11.382,8.148
2_16,19,21,6,3.802,2.706,2,2,1.105,1.105,1.105,1.795,1.704,1.607,2.714,2.372,2.079,4.029,3.059,2.436,4.981,3.439,2.584,5.648,3.678,2.665,6,3.802,2.706
2_5,5,6,4,3.464,3,3,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.1,2.018,1.92,3.4,3.067,2.743,3.4,3.067,2.743,4,3.464,3
20_0,15,39,12,8.483,6.882,6,1,2.6,2.6,2.6,4.333,4.127,3.9,5.556,5.111,4.68,7.861,6.707,5.85,9.435,7.536,6.382,10.771,8.081,6.686,12.391,8.596,6.933
20_13,59,107,18,10.034,7.306,6,3,1.814,1.814,1.814,7.157,6.125,5.264,9.695,7.554,6.167,12.96,8.82,6.822,15.372,9.479,7.101,17.014,9.842,7.238,18.1,10.052,7.313
20_14,287,790,29,14.488,11.016,7,3,2.753,2.753,2.753,17.56,12.742,10.107,20.45,13.622,10.612,23.536,14.103,10.856,26.013,14.32,10.951,27.937,14.436,10.997,28.853,14.481,11.014
20_15,212,434,31,12.381,8.074,6,4,2.047,2.047,2.047,14.337,9.623,7.244,19.133,10.824,7.677,25.007,11.743,7.93,28.118,12.1,8.013,30.129,12.301,8.057,30.915,12.373,8.073
20_16,2113,6519,51,15.716,10.875,5,4,3.085,3.085,3.085,35.757,15.251,10.77,41.659,15.507,10.831,46.446,15.636,10.859,49.957,15.701,10.872,49.957,15.701,10.872,49.957,15.701,10.872
20_17,12,14,9,6.496,4.455,8,0,1.167,1.167,1.167,2.106,2.039,1.953,2.909,2.732,2.519,4.326,3.823,3.279,4.999,4.282,3.546,4.999,4.282,3.546,9,6.496,4.455
20_3,7,22,4,3.953,3.903,0,0,4,3.953,3.903,4,3.953,3.903,4,3.953,3.903,4,3.953,3.903,4,3.953,3.903,4,3.953,3.903,4,3.953,3.903
21_14,342,689,22,10.464,8.214,4,0,2.015,2.015,2.015,13.353,9.296,7.629,16.324,9.902,7.958,18.993,10.239,8.118,20.353,10.36,8.171,21.503,10.439,8.204,21.503,10.439,8.204
21_15,1151,2832,45,16.417,11.226,6,3,2.46,2.46,2.46,29.2,15.422,10.935,34.505,15.942,11.099,39.363,16.221,11.177,42.558,16.346,11.209,44.257,16.398,11.221,45.329,16.425,11.228
21_16,6055,17910,58,19.555,13.411,5,2,2.958,2.958,2.958,46.085,19.297,13.343,51.585,19.47,13.39,52.019,19.479,13.392,62.01,19.579,13.415,62.01,19.579,13.415,62.01,19.579,13.415
21_17,216,369,30,12.403,8.287,9,4,1.708,1.708,1.708,13.224,9.349,7.204,17.888,10.728,7.785,22.911,11.656,8.092,26.203,12.068,8.205,28.719,12.304,8.264,30.124,12.412,8.289
22_14,104,130,11,5.119,3.524,0,4,1.25,1.25,1.25,5.058,3.807,3.066,6.826,4.369,3.306,9.157,4.811,3.444,10.373,4.988,3.49,10.914,5.081,3.513,11,5.117,3.523
22_15,708,2153,41,16.3,10.759,5,1,3.041,3.041,3.041,29.122,15.138,10.447,33.421,15.742,10.617,37.067,16.087,10.707,39.296,16.228,10.742,40.649,16.287,10.756,42.725,16.353,10.769
22_16,712,1242,45,17.8,11.724,6,6,1.744,1.744,1.744,25.718,15.449,10.974,32.051,16.622,11.389,38.516,17.338,11.603,41.729,17.587,11.669,44.008,17.738,11.708,44.889,17.793,11.722
22_17,580,734,44,11.187,5.91,16,3,1.266,1.266,1.266,17.968,9.109,5.613,24.549,10.037,5.778,32.319,10.67,5.86,37.453,10.945,5.888,41.577,11.11,5.903,43.584,11.175,5.909
23_14,114,151,18,7.1,4.48,7,3,1.325,1.325,1.325,6.812,4.941,3.85,9.31,5.741,4.152,12.816,6.486,4.359,15.077,6.808,4.428,16.961,7.008,4.465,18,7.1,4.48
23_15,392,619,29,8.923,5.937,8,3,1.579,1.579,1.579,13.105,7.593,5.607,17.392,8.203,5.789,22.392,8.614,5.882,25.581,8.786,5.914,27.99,8.887,5.931,28.918,8.92,5.936
23_16,513,1078,45,18.029,10.966,9,7,2.101,2.101,2.101,25.262,15.421,10.248,31.094,16.731,10.652,37.192,17.505,10.852,40.548,17.771,10.912,43.486,17.95,10.95,45.223,18.041,10.968
23_17,284,384,41,16.125,9.283,11,8,1.352,1.352,1.352,16.34,11.122,7.94,23.036,13.191,8.629,31.018,14.827,9.035,35.888,15.539,9.178,39.334,15.948,9.253,41.115,16.136,9.285
23_3,151,453,26,12.552,9.665,5,3,3,3,3,13.639,10.307,8.591,17.363,11.382,9.179,21.429,12.07,9.484,23.779,12.345,9.59,25.161,12.48,9.639,25.967,12.55,9.664
23_4,90,141,23,12.804,9,6,6,1.567,1.567,1.567,8.901,7.507,6.309,12.385,9.471,7.505,17.106,11.305,8.413,20.01,12.109,8.743,22.011,12.582,8.92,23,12.804,9
24_14,190,247,18,6.666,4.469,4,4,1.3,1.3,1.3,7.648,5.184,4.027,10.533,5.843,4.268,13.887,6.305,4.392,16.005,6.51,4.437,17.376,6.619,4.459,18,6.666,4.469
24_15,17,22,9,5.637,3.841,6,1,1.294,1.294,1.294,2.206,2.109,1.998,3.523,3.126,2.744,5.051,4.05,3.267,6.766,4.845,3.6,7.919,5.282,3.743,9,5.637,3.841
24_17,138,170,28,11.308,6.245,12,5,1.232,1.232,1.232,9.052,6.726,5.022,13.492,8.456,5.641,19.06,9.917,6.006,23.066,10.652,6.144,26.062,11.076,6.211,28,11.308,6.245
24_3,133,244,22,11.965,8.483,4,4,1.835,1.835,1.835,10.985,8.592,6.878,14.59,10.19,7.723,17.949,11.202,8.184,20.061,11.643,8.362,21.346,11.861,8.445,22.03,11.969,8.485
25_12,22,36,11,5.913,3.541,5,3,1.636,1.636,1.636,3.299,2.944,2.621,4.603,3.682,2.98,6.749,4.603,3.279,8.772,5.287,3.432,10.01,5.648,3.498,11.215,5.969,3.55
25_13,89,129,22,9.222,4.642,7,6,1.449,1.449,1.449,7.436,5.371,3.876,11.054,6.751,4.25,15.738,8.061,4.491,18.696,8.679,4.578,20.858,9.046,4.622,22.077,9.233,4.643
25_14,53,60,10,3.562,2.473,7,1,1.132,1.132,1.132,2.922,2.422,2.098,3.985,2.812,2.294,5.722,3.147,2.401,7.366,3.344,2.441,8.923,3.482,2.463,10.131,3.571,2.474
25_15,22,27,4,2.602,2.125,1,1,1.227,1.227,1.227,2.094,1.896,1.741,2.524,2.142,1.9,3.061,2.366,2.024,3.515,2.497,2.084,3.792,2.559,2.109,4,2.602,2.125
25_17,66,113,21,15.265,11.79,4,1,1.712,1.712,1.712,9.235,8.176,7.117,13.211,10.913,9.015,17.159,13.235,10.5,19.215,14.362,11.21,20.297,14.939,11.581,21,15.265,11.79
25_4,65,103,30,21.783,17.084,11,4,1.585,1.585,1.585,9.843,9.065,8.178,15.105,13.166,11.318,21.246,17.287,14.213,25.406,19.648,15.764,28.209,21.016,16.622,30.167,21.85,17.123
25_5,9,12,8,6.735,5.538,6,1,1.333,1.333,1.333,1.333,1.333,1.333,2.472,2.41,2.327,4.349,4.057,3.71,5.159,4.713,4.211,6.639,5.818,4.978,8,6.735,5.538
26_11,6,7,5,4.711,4.455,3,2,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,1.167,2.2,2.156,2.094,3.1,2.987,2.849,3.867,3.68,3.475,5,4.711,4.455
26_12,23,28,11,8.2,6.426,5,3,1.217,1.217,1.217,3.134,2.984,2.798,4.583,4.197,3.78,7.127,6.056,5.129,8.599,6.96,5.712,10.059,7.742,6.173,11,8.2,6.426
26_14,8,10,4,3.216,2.778,2,0,1.25,1.25,1.25,1.25,1.25,1.25,2.036,1.933,1.823,2.554,2.344,2.152,3.232,2.82,2.514,3.5,2.977,2.625,4,3.216,2.778
26_17,5,5,4,3.789,3.571,3,1,1,1,1,1,1,1,1,1,1,1.9,1.866,1.818,2.7,2.612,2.5,2.7,2.612,2.5,4,3.789,3.571
26_5,13,15,5,2.585,1.8,4,0,3.462,2.263,1.749,3.462,2.263,1.749,3.462,2.263,1.749,3.462,2.263,1.749,3.462,2.263,1.749,3.462,2.263,1.749,5,2.585,1.8
26_7,15,20,8,5.74,4.545,5,0,1.333,1.333,1.333,2.343,2.254,2.146,3.13,2.92,2.692,4.768,4.144,3.613,5.954,4.854,4.078,6.658,5.202,4.278,8.322,5.853,4.595
26_8,50,86,20,10.17,6.627,8,6,1.72,1.72,1.72,6.281,5.41,4.644,8.933,6.883,5.493,12.979,8.416,6.134,16.302,9.335,6.417,18.579,9.865,6.555,20,10.17,6.627
27_6,31,41,11,7.028,5.204,5,1,1.323,1.323,1.323,3.83,3.486,3.134,5.351,4.566,3.897,7.374,5.702,4.583,8.823,6.326,4.901,10.168,6.789,5.108,11.159,7.07,5.22
27_7,11,14,7,4.793,3.379,5,1,1.273,1.273,1.273,2.145,2.047,1.937,2.83,2.591,2.344,4,3.368,2.819,5.073,3.945,3.087,6.073,4.408,3.259,7.437,4.961,3.427
28_11,7,7,5,4.371,3.769,4,0,1,1,1,1,1,1,1.857,1.811,1.75,2.6,2.481,2.333,3.857,3.535,3.182,4.429,3.97,3.5,5,4.371,3.769
28_12,17,28,10,7.628,6.323,4,3,1.647,1.647,1.647,2.941,2.839,2.713,4.805,4.41,4.01,6.604,5.748,5.044,8.257,6.76,5.765,9.228,7.259,6.091,10,7.628,6.323
28_13,8,8,3,2.649,2.462,1,0,1,1,1,1,1,1,1.679,1.601,1.514,2.125,1.971,1.826,2.607,2.369,2.188,2.75,2.485,2.301,2.75,2.485,2.301
28_17,4,6,4,3.464,3,3,0,2.5,2.381,2.25,2.5,2.381,2.25,2.5,2.381,2.25,2.5,2.381,2.25,2.5,2.381,2.25,2.5,2.381,2.25,4,3.464,3
28_5,14,20,9,7.192,5.882,4,3,1.429,1.429,1.429,2.593,2.514,2.412,3.56,3.362,3.13,5.712,5.071,4.457,7.237,6.12,5.191,8.044,6.623,5.521,9,7.192,5.882
28_8,8,8,6,5.657,5.333,4,2,1,1,1,1,1,1,1.929,1.903,1.867,2.786,2.717,2.625,4.286,4.102,3.889,4.929,4.684,4.421,6,5.657,5.333
