id,T,U,obs.D0,obs.D1,obs.D2,Q1,Q2,SC1.D0,SC1.D1,SC1.D2,SC2.D0,SC2.D1,SC2.D2,SC3.D0,SC3.D1,SC3.D2,SC4.D0,SC4.D1,SC4.D2,SC5.D0,SC5.D1,SC5.D2,SC6.D0,SC6.D1,SC6.D2,SC7.D0,SC7.D1,SC7.D2
0_0,13,20,10,8.481,7.407,5,2,1.538,1.538,1.538,2.859,2.789,2.695,3.993,3.815,3.596,5.814,5.374,4.91,7.772,6.928,6.18,8.766,7.656,6.762,10,8.481,7.407
0_1,21,28,6,4.134,3.35,1,3,1.333,1.333,1.333,2.743,2.516,2.305,3.489,3.04,2.697,4.485,3.563,3.043,5.219,3.846,3.201,5.724,4.022,3.292,6.037,4.155,3.362
0_12,13,20,8,6.07,4.878,4,1,1.538,1.538,1.538,2.679,2.572,2.445,3.563,3.312,3.043,4.881,4.305,3.783,6.291,5.207,4.383,7.035,5.614,4.627,8.295,6.193,4.942
0_5,20,25,13,11.151,9.615,6,4,1.25,1.25,1.25,3.445,3.345,3.209,5.298,5.018,4.675,8.223,7.492,6.722,10.395,9.204,8.082,12.035,10.439,9.053,13,11.151,9.615
1_0,9,14,8,6.34,5.158,6,0,1.556,1.556,1.556,1.556,1.556,1.556,2.778,2.682,2.562,4.587,4.194,3.787,6,5.206,4.506,7.333,5.994,4.978,8,6.34,5.158
1_11,4,5,4,3.789,3.571,3,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,2.333,2.279,2.206,2.333,2.279,2.206,4,3.789,3.571
1_33,10,11,5,4.341,3.903,2,1,1.1,1.1,1.1,1.1,1.1,1.1,1.978,1.913,1.83,3.229,2.985,2.74,4.029,3.627,3.283,4.325,3.857,3.481,5,4.341,3.903
1_34,8,12,8,6.137,4.5,7,0,5.375,4.615,3.841,5.375,4.615,3.841,5.375,4.615,3.841,5.375,4.615,3.841,3.607,3.348,3.048,3.607,3.348,3.048,8,6.137,4.5
10_32,4,8,5,4.456,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,3.333,3.175,3,3.333,3.175,3,5,4.456,4
10_33,121,301,24,13.949,10.32,4,1,2.488,2.488,2.488,13.203,10.356,8.473,17.228,12.069,9.417,20.714,13.198,9.973,22.287,13.612,10.168,23.486,13.863,10.282,24.131,13.97,10.329
