id,T,U,obs.D0,obs.D1,obs.D2,Q1,Q2,SC1.D0,SC1.D1,SC1.D2,SC2.D0,SC2.D1,SC2.D2,SC3.D0,SC3.D1,SC3.D2,SC4.D0,SC4.D1,SC4.D2,SC5.D0,SC5.D1,SC5.D2,SC6.D0,SC6.D1,SC6.D2,SC7.D0,SC7.D1,SC7.D2
11_32,370,671,35,16.399,11.972,8,4,1.814,1.814,1.814,19.126,13.502,10.605,23.802,14.908,11.338,28.534,15.778,11.733,31.694,16.14,11.877,34.014,16.331,11.948,34.935,16.395,11.97
11_33,75,154,24,13.647,9.882,6,5,2.053,2.053,2.053,10.047,8.462,7.172,13.365,10.284,8.304,18.083,12.109,9.242,21.027,12.943,9.603,22.908,13.398,9.786,24.078,13.664,9.888
12_30,18,34,7,4.634,3.879,3,1,1.889,1.889,1.889,2.915,2.753,2.593,3.941,3.513,3.188,5.035,4.095,3.6,5.696,4.322,3.732,6.48,4.524,3.832,7,4.634,3.879
12_31,68,103,17,9.755,7.281,6,2,1.515,1.515,1.515,6.909,5.934,5.106,9.344,7.373,6.064,12.326,8.605,6.764,14.518,9.229,7.063,16.071,9.577,7.211,17,9.755,7.281
12_32,216,382,37,17.85,11.751,7,6,1.769,1.769,1.769,16.741,12.475,9.63,23.133,14.893,10.737,29.883,16.603,11.364,33.565,17.299,11.586,35.904,17.682,11.701,37.032,17.855,11.752
13_28,34,63,23,19.567,17.332,7,3,1.853,1.853,1.853,6.571,6.313,5.979,11.296,10.436,9.509,16.671,14.783,13.124,19.497,16.965,14.984,21.657,18.601,16.44,23,19.567,17.332
13_29,481,1310,42,14.208,9.704,8,6,2.723,2.723,2.723,22.311,12.649,9.286,28.253,13.417,9.522,34.603,13.884,9.637,38.463,14.074,9.678,40.845,14.167,9.697,42.082,14.211,9.705
13_30,282,623,35,15.734,9.317,7,1,2.209,2.209,2.209,20.324,12.762,8.526,25.295,14.206,8.946,29.741,15.12,9.179,32.16,15.459,9.258,34.03,15.654,9.3,35.491,15.769,9.324
13_31,1268,2629,47,12.824,8.173,9,8,2.073,2.073,2.073,27.63,12.001,8.019,33.372,12.411,8.104,39.732,12.677,8.151,43.516,12.766,8.165,46.069,12.81,8.171,47.618,12.834,8.174
13_32,141,258,17,8.264,6.509,5,2,1.83,1.83,1.83,8.503,6.664,5.643,10.588,7.388,6.097,13.186,7.89,6.357,14.816,8.083,6.441,16.329,8.215,6.492,17.07,8.268,6.511
14_27,7,9,7,6.614,6.231,5,2,1.286,1.286,1.286,1.286,1.286,1.286,2.476,2.443,2.394,3.571,3.481,3.359,4.571,4.409,4.208,5.476,5.235,4.959,7,6.614,6.231
14_28,620,1673,64,15.409,8.775,18,8,2.698,2.698,2.698,29.486,13.449,8.515,39.117,14.374,8.661,49.52,14.965,8.733,56.491,15.218,8.758,61.104,15.343,8.77,63.53,15.399,8.775
14_29,39,63,11,8.564,7.283,2,0,1.615,1.615,1.615,5.515,4.986,4.474,7.443,6.398,5.569,9.309,7.607,6.505,10.095,8.082,6.885,10.633,8.389,7.138,11,8.564,7.283
15_26,25,60,19,14.242,11.842,9,1,2.4,2.4,2.4,6.064,5.751,5.378,9.723,8.745,7.795,13.313,11.347,9.798,15.613,12.753,10.842,17.54,13.679,11.484,19,14.242,11.842
15_27,145,299,31,12.534,7.484,10,5,2.062,2.062,2.062,12.351,8.765,6.462,17.388,10.407,7.013,23.134,11.603,7.311,26.657,12.094,7.409,29.525,12.4,7.463,31.068,12.54,7.485
15_28,75,173,20,8.796,5.237,6,3,2.307,2.307,2.307,8.728,6.236,4.651,11.828,7.284,4.947,15.119,8.082,5.119,17.369,8.467,5.187,19.056,8.689,5.222,20,8.796,5.237
16_25,33,51,13,9.409,7.764,5,1,1.545,1.545,1.545,4.78,4.435,4.061,6.761,5.99,5.292,9.392,7.762,6.632,10.793,8.522,7.178,12.058,9.076,7.553,13,9.409,7.764
16_26,65,90,21,13.178,9.529,8,2,1.385,1.385,1.385,7.483,6.617,5.758,10.896,8.893,7.295,14.943,10.991,8.497,17.769,12.148,9.073,19.717,12.809,9.373,21,13.178,9.529
16_27,14,27,10,8.075,6.568,3,2,1.929,1.929,1.929,3.396,3.268,3.112,4.566,4.256,3.913,7.055,6.119,5.268,8.599,7.153,5.955,9.28,7.603,6.252,10,8.075,6.568
17_24,11,11,6,5.164,4.481,3,2,1,1,1,1.855,1.808,1.746,2.588,2.469,2.324,3.773,3.476,3.161,4.688,4.201,3.738,5.418,4.745,4.16,6,5.164,4.481
17_25,25,48,11,8.918,7.732,2,2,1.92,1.92,1.92,4.617,4.332,4.017,7.004,6.221,5.525,8.989,7.647,6.662,9.997,8.319,7.219,10.638,8.708,7.55,11,8.918,7.732
17_9,5,5,3,2.586,2.273,2,0,1,1,1,1,1,1,1,1,1,1.7,1.625,1.538,2.6,2.337,2.105,2.2,2.037,1.875,3,2.586,2.273
18_23,7,10,6,5.451,5,3,2,1.429,1.429,1.429,1.429,1.429,1.429,2.619,2.545,2.449,3.6,3.421,3.214,4.4,4.111,3.81,5.048,4.658,4.286,6,5.451,5
18_24,24,33,8,6.535,5.585,1,2,1.375,1.375,1.375,3.321,3.118,2.891,4.603,4.145,3.709,6.413,5.445,4.707,7.307,6.04,5.172,7.788,6.368,5.44,8,6.535,5.585
19_23,7,11,9,8.549,8.067,7,2,1.571,1.571,1.571,1.571,1.571,1.571,3.048,3.014,2.963,4.429,4.334,4.205,5.714,5.541,5.319,6.905,6.642,6.324,9,8.549,8.067
19_24,4,10,9,8.706,8.333,8,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4.833,4.774,4.688,4.833,4.774,4.688,9,8.706,8.333
19_26,19,21,5,4.491,4.282,1,0,1.105,1.105,1.105,1.971,1.902,1.816,3.157,2.915,2.678,4.239,3.825,3.511,4.619,4.193,3.917,4.789,4.35,4.107,4.895,4.427,4.203
2_0,4,9,6,5.349,4.765,4,1,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,3.833,3.665,3.471,3.833,3.665,3.471,6,5.349,4.765
2_13,7,9,4,3.37,3,2,0,1.286,1.286,1.286,1.286,1.286,1.286,2.143,2.041,1.929,2.714,2.509,2.314,3.714,3.221,2.893,3.429,3.044,2.755,4,3.37,3
2_33,7,7,3,2.6,2.333,1,1,1,1,1,1,1,1,1.667,1.587,1.5,2.114,1.953,1.8,2.429,2.197,2,2.667,2.37,2.143,3,2.6,2.333
2_35,13,30,6,4.369,3.689,2,0,2.308,2.308,2.308,3.244,3.057,2.895,3.811,3.441,3.163,4.529,3.845,3.416,5.195,4.134,3.577,5.535,4.248,3.634,6,4.369,3.689
20_23,20,30,12,9.07,7.5,7,0,1.5,1.5,1.5,3.832,3.645,3.42,5.529,5.072,4.597,7.845,6.822,5.965,9.504,7.877,6.736,10.949,8.622,7.231,12.344,9.204,7.576
20_24,18,45,16,12.256,10.176,7,3,2.5,2.5,2.5,4.497,4.349,4.162,7.441,6.85,6.235,11.041,9.533,8.302,12.845,10.672,9.127,14.775,11.697,9.821,16,12.256,10.176
20_26,23,44,17,12.697,10.083,9,1,1.913,1.913,1.913,4.924,4.687,4.395,7.195,6.59,5.935,11.081,9.466,8.051,13.228,10.826,8.965,14.996,11.791,9.567,17,12.697,10.083
20_27,9,9,4,3.709,3.522,1,1,1,1,1,1,1,1,1.806,1.748,1.674,2.929,2.725,2.526,3.294,3.039,2.812,3.56,3.275,3.042,4,3.709,3.522
21_17,72,95,15,5.547,2.98,6,2,1.319,1.319,1.319,4.832,3.453,2.61,7.091,4.177,2.792,10.426,4.915,2.911,12.474,5.243,2.95,14.034,5.442,2.97,15,5.547,2.98
21_18,13,16,4,2.588,1.969,1,2,1.231,1.231,1.231,1.731,1.631,1.544,2.077,1.855,1.688,2.667,2.136,1.823,3.359,2.382,1.91,3.692,2.486,1.94,4,2.588,1.969
21_24,16,34,13,10.44,8.627,4,5,2.125,2.125,2.125,3.833,3.71,3.553,6.401,5.892,5.352,9.017,7.86,6.834,10.831,9.07,7.686,12.123,9.878,8.239,13,10.44,8.627
21_25,40,84,19,13.86,10.723,3,4,2.1,2.1,2.1,7.616,6.911,6.173,10.886,9.272,7.869,14.831,11.636,9.386,17.072,12.807,10.086,18.349,13.48,10.489,19.07,13.904,10.751
21_26,60,130,15,9.673,7.759,3,2,2.167,2.167,2.167,7.834,6.715,5.829,9.939,7.954,6.7,12.153,8.898,7.312,13.564,9.33,7.568,14.506,9.564,7.7,15,9.673,7.759
22_21,12,14,8,6.743,5.765,5,1,1.167,1.167,1.167,2.182,2.132,2.065,3.068,2.94,2.778,4.535,4.204,3.839,5.71,5.146,4.59,6.7,5.881,5.15,8,6.743,5.765
22_23,93,154,18,7.766,4.949,7,1,1.656,1.656,1.656,7.44,5.517,4.262,9.755,6.357,4.587,13.032,7.121,4.811,15.161,7.453,4.888,16.916,7.662,4.93,18.15,7.779,4.951
22_24,112,171,13,5.797,3.458,2,1,1.527,1.527,1.527,6.894,4.475,3.182,8.963,5.048,3.32,11.11,5.497,3.407,12.094,5.668,3.437,12.734,5.763,3.453,13.018,5.8,3.459
22_26,32,78,10,6.8,5.828,3,1,2.437,2.438,2.438,5.486,4.906,4.435,6.6,5.655,5.023,7.918,6.296,5.51,8.728,6.541,5.675,9.407,6.693,5.768,10,6.8,5.828
22_27,18,24,12,8.796,6.261,7,3,1.333,1.333,1.333,2.444,2.376,2.286,4.257,3.934,3.556,7.081,5.995,4.923,8.823,7.075,5.5,10.773,8.162,6,12,8.796,6.261
23_16,9,14,6,5.329,4.9,2,1,1.556,1.556,1.556,1.556,1.556,1.556,2.75,2.649,2.525,4.333,3.991,3.668,4.841,4.408,4.033,5.226,4.723,4.32,6,5.329,4.9
23_17,22,31,8,4.472,3.302,5,0,1.409,1.409,1.409,2.831,2.579,2.35,3.644,3.11,2.712,4.858,3.676,3.023,6.145,4.078,3.186,6.857,4.249,3.241,8,4.472,3.302
23_20,8,9,7,6.614,6.231,5,2,1.125,1.125,1.125,1.125,1.125,1.125,2.179,2.153,2.116,3.161,3.091,2.995,4.911,4.717,4.486,5.679,5.417,5.123,7,6.614,6.231
23_21,53,99,13,8.388,6.6,3,0,1.868,1.868,1.868,6.31,5.474,4.777,8.49,6.766,5.658,10.449,7.615,6.176,11.774,8.059,6.425,12.54,8.279,6.543,13,8.388,6.6
23_22,8,9,4,2.726,2.077,3,0,2.5,2.129,1.853,2.5,2.129,1.853,2.5,2.129,1.853,2.125,1.911,1.729,2.125,1.911,1.729,2.125,1.911,1.729,4,2.726,2.077
23_24,44,78,16,9.477,6.627,6,1,1.773,1.773,1.773,5.781,5.084,4.428,8.534,6.761,5.448,11.597,8.139,6.115,13.563,8.826,6.395,15.017,9.244,6.549,16.135,9.505,6.637
23_25,103,146,19,8.114,5.669,8,3,1.417,1.417,1.417,6.805,5.465,4.55,9.334,6.492,5.115,12.953,7.336,5.454,15.643,7.743,5.577,17.77,7.992,5.641,19.077,8.121,5.671
23_26,83,88,13,5.339,3.625,5,4,1.06,1.06,1.06,4.524,3.584,2.983,6.066,4.164,3.276,8.717,4.766,3.491,10.736,5.07,3.569,12.197,5.248,3.607,13,5.339,3.625
23_27,63,70,9,4.093,2.836,4,1,1.111,1.111,1.111,3.516,2.828,2.363,4.797,3.346,2.607,6.285,3.729,2.744,7.395,3.913,2.795,8.41,4.036,2.824,9,4.093,2.836
24_13,14,15,3,3,3,0,0,1.071,1.071,1.071,1.813,1.731,1.639,2.308,2.145,1.99,2.916,2.699,2.532,2.999,2.881,2.786,3,2.915,2.843,3,2.915,2.843
24_14,29,43,6,4.582,3.959,0,2,1.483,1.483,1.483,3.546,3.188,2.884,4.376,3.757,3.334,5.254,4.22,3.689,5.684,4.4,3.82,5.948,4.522,3.911,5.995,4.561,3.942
24_18,5,5,3,2.586,2.273,2,0,1,1,1,1,1,1,1,1,1,1.7,1.625,1.538,2.6,2.337,2.105,2.2,2.037,1.875,3,2.586,2.273
24_20,9,10,9,8.706,8.333,8,1,1.111,1.111,1.111,1.111,1.111,1.111,2.194,2.184,2.168,4.278,4.219,4.134,5.278,5.184,5.051,7.194,7.01,6.763,9,8.706,8.333
24_21,12,19,7,5.961,5.232,2,1,1.583,1.583,1.583,2.788,2.683,2.555,3.718,3.475,3.213,5.03,4.514,4.045,5.879,5.147,4.551,6.441,5.56,4.89,7.153,6.06,5.318
24_23,27,41,7,4.744,3.864,2,1,1.519,1.519,1.519,3.128,2.865,2.619,4.293,3.658,3.199,5.495,4.266,3.597,6.118,4.499,3.734,6.601,4.644,3.813,7.071,4.761,3.873
24_24,10,16,7,5.778,4.741,2,4,1.6,1.6,1.6,1.6,1.6,1.6,2.778,2.665,2.532,4.462,4.014,3.572,5.667,4.852,4.139,6.511,5.41,4.496,7,5.778,4.741
24_25,62,86,14,6.86,4.652,3,6,1.387,1.387,1.387,5.052,4.21,3.57,7.247,5.218,4.108,9.964,6.019,4.416,12.149,6.491,4.555,13.448,6.743,4.621,14,6.86,4.652
24_26,43,58,16,10.543,7.509,6,2,1.349,1.349,1.349,5.059,4.607,4.111,7.956,6.672,5.526,11.014,8.424,6.524,13.314,9.505,7.054,14.965,10.173,7.353,16.137,10.588,7.528
24_27,37,41,11,7.959,6.392,3,4,1.108,1.108,1.108,3.552,3.319,3.054,5.594,4.93,4.318,7.966,6.489,5.445,9.313,7.196,5.915,10.423,7.7,6.232,11.075,7.994,6.414
24_28,30,34,10,5.137,3.341,7,0,1.133,1.133,1.133,2.984,2.642,2.326,4.16,3.347,2.737,5.946,4.123,3.071,7.427,4.584,3.216,8.366,4.814,3.274,10,5.137,3.341
24_29,13,18,5,3.852,3.115,1,1,1.385,1.385,1.385,2.218,2.101,1.981,2.801,2.546,2.312,3.634,3.088,2.67,4.417,3.523,2.925,4.724,3.691,3.021,5,3.852,3.115
25_13,10,15,5,4.063,3.571,2,0,1.5,1.5,1.5,1.5,1.5,1.5,2.467,2.345,2.213,3.557,3.202,2.903,4.162,3.623,3.24,4.6,3.88,3.439,5,4.063,3.571
25_21,39,62,17,14.015,12.4,4,3,1.59,1.59,1.59,6.449,6.051,5.594,9.606,8.667,7.767,13.183,11.417,10.068,14.901,12.654,11.153,16.189,13.513,11.933,17,14.015,12.4
25_24,8,11,6,4.666,3.667,4,1,1.375,1.375,1.375,1.375,1.375,1.375,2.357,2.256,2.139,3.125,2.882,2.625,4.393,3.766,3.208,4.964,4.108,3.397,6,4.666,3.667
25_25,19,20,9,4.503,2.632,8,0,1.053,1.053,1.053,1.719,1.633,1.54,2.675,2.318,2.005,3.947,2.969,2.303,3.947,2.969,2.303,3.947,2.969,2.303,9,4.503,2.632
25_28,48,56,17,9.212,5.042,6,6,1.167,1.167,1.167,4.737,4.052,3.373,7.295,5.519,4.073,10.89,7.108,4.588,13.793,8.16,4.837,15.841,8.834,4.972,17,9.212,5.042
25_29,145,188,29,18.902,14.344,8,3,1.297,1.297,1.297,12.112,10.482,8.933,17.659,14.106,11.411,22.796,16.793,13.117,25.735,17.966,13.82,27.839,18.61,14.186,29.109,18.928,14.358
25_3,17,26,13,9.565,6.898,8,2,1.529,1.529,1.529,2.794,2.713,2.608,4.841,4.464,4.027,7.278,6.271,5.252,9.897,7.918,6.161,11.541,8.829,6.588,13.456,9.78,6.983
25_30,26,44,9,5.811,4.44,3,2,1.692,1.692,1.692,3.566,3.259,2.964,5.105,4.279,3.65,6.575,5.028,4.079,7.567,5.407,4.267,8.502,5.684,4.389,9.11,5.838,4.451
25_4,15,24,14,10.351,7.579,11,1,1.6,1.6,1.6,2.952,2.874,2.771,4.123,3.919,3.665,6.998,6.229,5.412,9.455,7.886,6.434,11.771,9.219,7.105,14.724,10.693,7.708
25_5,133,268,33,20.349,14.889,9,2,2.015,2.015,2.015,15.393,12.812,10.549,21.327,16.281,12.687,26.395,18.571,13.986,29.429,19.556,14.505,31.594,20.078,14.762,33.268,20.395,14.91
25_6,22,35,12,7.834,5.861,7,1,1.591,1.591,1.591,3.764,3.514,3.239,5.22,4.634,4.086,7.287,5.941,4.948,9.295,6.895,5.462,10.699,7.422,5.699,12,7.834,5.861
25_7,62,134,18,9.147,6.965,7,3,2.161,2.161,2.161,7.329,6.226,5.415,9.75,7.415,6.192,12.609,8.263,6.631,15.095,8.745,6.828,16.924,9.013,6.922,17.887,9.134,6.961
26_10,25,49,7,5.444,4.851,1,1,1.96,1.96,1.96,3.957,3.636,3.344,5.131,4.504,4.06,5.975,5.018,4.499,6.483,5.246,4.688,6.818,5.376,4.794,7.037,5.458,4.862
26_11,27,49,10,7.408,6.472,4,0,1.815,1.815,1.815,4.195,3.913,3.616,6.07,5.38,4.81,7.507,6.39,5.659,8.514,6.933,6.117,8.814,7.055,6.213,10,7.408,6.472
26_12,25,53,8,6.871,6.37,1,0,2.12,2.12,2.12,4.622,4.283,3.95,6.247,5.562,5.037,7.191,6.311,5.758,7.593,6.616,6.084,7.795,6.756,6.239,7.92,6.831,6.324
26_21,76,135,15,8.229,5.303,2,2,1.776,1.776,1.776,7.447,5.687,4.43,10.062,6.773,4.856,12.564,7.582,5.116,13.94,7.959,5.226,14.667,8.145,5.279,15.026,8.236,5.304
26_22,6,6,4,3.78,3.6,2,2,1,1,1,1,1,1,1,1,1,1.867,1.823,1.765,2.6,2.494,2.368,3.2,3.031,2.857,4,3.78,3.6
26_23,16,22,8,6.283,5.261,3,2,1.375,1.375,1.375,2.458,2.374,2.269,4.026,3.697,3.361,5.542,4.829,4.235,6.589,5.504,4.727,7.386,5.958,5.042,8.172,6.371,5.32
26_24,17,20,6,4.745,4,2,0,1.176,1.176,1.176,2.059,1.979,1.882,3.276,2.979,2.689,4.381,3.779,3.294,5.229,4.327,3.697,5.517,4.499,3.824,6,4.745,4
26_29,154,305,26,15.598,12.432,6,2,1.981,1.981,1.981,13.759,11.328,9.581,17.661,13.379,11.036,21.281,14.666,11.885,23.525,15.192,12.204,25.183,15.481,12.368,25.803,15.571,12.417
26_3,33,41,12,8.349,6.751,6,1,1.242,1.242,1.242,3.93,3.665,3.368,5.649,5.033,4.457,8.053,6.667,5.682,9.465,7.41,6.193,10.88,7.985,6.549,12.18,8.402,6.779
26_30,294,389,29,13.367,8.057,7,1,1.323,1.323,1.323,15.115,10.098,7.054,19.711,11.626,7.575,23.923,12.658,7.877,26.184,13.043,7.979,27.844,13.253,8.031,28.952,13.363,8.056
26_31,231,506,14,6.981,5.405,1,1,2.19,2.19,2.19,9.396,6.332,5.135,11.093,6.657,5.28,12.664,6.856,5.359,13.409,6.928,5.386,13.781,6.961,5.398,13.991,6.981,5.405
26_34,5,7,5,4.711,4.455,3,2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2.6,2.536,2.45,3.6,3.445,3.267,4.4,4.161,3.92,5,4.711,4.455
26_7,17,29,8,6.852,6.05,1,2,1.706,1.706,1.706,3.007,2.895,2.758,4.806,4.393,3.988,6.354,5.57,4.929,7.383,6.332,5.567,7.778,6.646,5.851,8,6.852,6.05
26_8,91,173,20,11.382,8.443,3,4,1.901,1.901,1.901,9.236,7.637,6.446,12.293,9.15,7.374,16.178,10.445,8.033,18.308,10.981,8.271,19.488,11.257,8.389,20.032,11.39,8.446
26_9,28,36,6,4.368,3.789,2,0,1.286,1.286,1.286,2.784,2.573,2.367,3.831,3.357,2.997,4.747,3.924,3.457,5.197,4.132,3.621,5.571,4.261,3.716,6,4.368,3.789
27_1,18,26,9,6.561,5.121,4,1,1.444,1.444,1.444,2.542,2.446,2.33,4.127,3.746,3.36,6.16,5.134,4.314,7.219,5.734,4.676,8.311,6.27,4.972,9.216,6.644,5.162
27_21,18,36,12,9.813,8.416,4,1,2,2,2,3.614,3.5,3.353,6.025,5.56,5.068,8.914,7.777,6.809,10.176,8.674,7.513,11.311,9.423,8.11,12,9.813,8.416
27_23,165,360,19,7.606,5.912,5,4,2.182,2.182,2.182,8.881,6.458,5.448,11.4,6.969,5.699,14.538,7.324,5.832,16.594,7.475,5.877,18.15,7.563,5.901,18.939,7.603,5.912
27_27,24,79,12,9.565,8.632,2,1,3.292,3.292,3.292,6.814,6.278,5.779,8.428,7.515,6.807,10.133,8.698,7.856,11.037,9.17,8.282,11.537,9.387,8.475,12.08,9.593,8.657
27_29,33,50,19,14.105,11.261,9,4,1.515,1.515,1.515,5.169,4.907,4.583,7.869,7.181,6.447,12.171,10.367,8.848,14.789,11.989,9.96,17.246,13.288,10.78,19.265,14.223,11.328
27_3,22,45,13,9.77,8.133,5,1,2.045,2.045,2.045,4.926,4.623,4.286,6.813,6.132,5.488,9.161,7.792,6.751,10.976,8.86,7.523,12.06,9.387,7.884,13.223,9.85,8.183
27_30,103,129,23,12.901,7.472,5,5,1.252,1.252,1.252,8.886,7.093,5.457,12.832,9.155,6.336,17.75,11.21,7.014,20.442,12.135,7.274,22.166,12.659,7.411,23.048,12.915,7.476
27_31,420,1074,22,8.53,6.661,3,4,2.557,2.557,2.557,12.594,7.946,6.45,15.337,8.234,6.569,18.465,8.409,6.627,20.304,8.477,6.646,21.447,8.513,6.656,21.904,8.527,6.66
27_32,357,732,11,6.514,5.6,1,0,2.05,2.05,2.05,8.372,6.179,5.374,9.312,6.359,5.501,10.254,6.462,5.568,10.59,6.489,5.585,10.994,6.513,5.6,10.994,6.513,5.6
27_34,4,5,4,3.789,3.571,3,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,2.333,2.279,2.206,2.333,2.279,2.206,4,3.789,3.571
27_4,14,20,5,3.784,3.175,1,2,1.429,1.429,1.429,2.275,2.154,2.03,2.824,2.58,2.361,3.804,3.217,2.821,4.423,3.524,3.017,4.72,3.653,3.095,5,3.784,3.175
27_5,58,99,9,5.319,4.259,2,1,1.707,1.707,1.707,4.921,4.11,3.576,6.068,4.628,3.905,7.252,4.994,4.107,8.104,5.178,4.197,8.665,5.271,4.239,8.93,5.309,4.255
28_1,27,57,13,9.029,7.401,5,1,2.111,2.111,2.111,4.868,4.533,4.179,7.163,6.272,5.534,9.608,7.748,6.605,10.955,8.354,7.004,12.042,8.747,7.242,13.182,9.077,7.426
28_21,12,25,10,8.366,7.353,4,1,2.083,2.083,2.083,3.712,3.582,3.42,4.991,4.686,4.351,6.818,6.164,5.562,8.043,7.087,6.316,8.941,7.715,6.829,10.319,8.534,7.485
28_22,57,117,15,7.785,5.594,5,2,2.053,2.053,2.053,6.661,5.44,4.585,8.771,6.363,5.066,11.168,7.086,5.367,12.865,7.456,5.495,14.165,7.671,5.562,15,7.785,5.594
28_23,85,204,18,8.788,6.4,5,2,2.4,2.4,2.4,8.761,6.778,5.571,10.91,7.567,5.96,13.85,8.248,6.232,15.777,8.54,6.328,17.25,8.713,6.38,18.058,8.794,6.402
28_3,7,12,10,9.118,8,9,0,1.714,1.714,1.714,1.714,1.714,1.714,3.286,3.236,3.165,4.743,4.604,4.408,6.114,5.85,5.486,6.114,5.85,5.486,10,9.118,8
28_30,51,62,16,9.438,5.914,5,5,1.216,1.216,1.216,5.015,4.384,3.744,7.479,5.925,4.616,11.166,7.699,5.367,13.387,8.556,5.654,15.103,9.143,5.83,16,9.438,5.914
28_31,665,1053,13,4.982,3.621,1,0,1.583,1.583,1.583,9.015,4.761,3.565,10.635,4.872,3.595,12.059,4.945,3.613,12.44,4.961,3.617,12.902,4.979,3.621,12.998,4.982,3.621
28_32,288,413,9,5.457,4.218,0,0,1.434,1.434,1.434,7.318,4.998,3.986,8.392,5.258,4.116,8.909,5.383,4.178,8.998,5.435,4.206,8.998,5.435,4.206,8.998,5.435,4.206
28_6,14,16,4,2.811,2.37,2,0,1.143,1.143,1.143,1.78,1.682,1.585,2.17,1.982,1.819,2.829,2.406,2.135,3.285,2.609,2.266,3.285,2.609,2.266,4,2.811,2.37
29_1,28,58,21,16.148,13.349,9,4,2.071,2.071,2.071,5.483,5.261,4.98,9.265,8.494,7.675,14.103,12.156,10.521,16.788,13.905,11.808,19.283,15.306,12.789,21.311,16.291,13.443
29_22,8,17,13,11.897,10.704,10,2,2.125,2.125,2.125,2.125,2.125,2.125,4.071,4.01,3.921,5.857,5.688,5.458,9.018,8.54,7.952,10.429,9.762,8.978,14.182,12.834,11.437
29_3,13,20,11,9.909,9.091,5,3,1.538,1.538,1.538,2.923,2.871,2.797,4.164,4.026,3.846,6.259,5.899,5.495,8.587,7.895,7.24,9.72,8.848,8.097,11,9.909,9.091
29_30,34,47,11,7.944,6.674,4,1,1.382,1.382,1.382,4.21,3.899,3.569,6.274,5.496,4.847,8.19,6.743,5.819,9.267,7.292,6.227,10.264,7.698,6.512,11,7.944,6.674
29_31,184,277,17,8.563,6.667,4,2,1.505,1.505,1.505,9.004,6.947,5.779,11.21,7.699,6.246,13.707,8.194,6.505,15.279,8.401,6.599,16.443,8.517,6.648,17.107,8.572,6.67
29_32,271,349,9,5.894,5.077,1,0,1.288,1.288,1.288,6.727,5.365,4.638,7.467,5.657,4.89,8.174,5.797,5.003,8.618,5.857,5.049,8.869,5.883,5.069,8.993,5.894,5.077
29_33,4,5,3,2.872,2.778,1,2,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,2.167,2.078,1.974,2.167,2.078,1.974,3,2.872,2.778
