"id","SC"
"0_0",0.7429
"0_1",0.625
"0_10",0.6667
"0_11",1
"0_14",0.8889
"0_15",1
"0_2",0.9725
"0_21",0.6667
"0_24",0.6356
"0_25",0.7429
"0_64",1
"0_68",1
"1_0",0.6
"1_1",1
"1_10",0.6893
"1_16",1
"1_18",1
"1_23",1
"1_36",1
"1_64",1
"1_67",1
"1_68",1
"1_70",1
"10_37",1
"10_49",0.9663
"10_58",1
"100_16",0.8294
"100_57",1
"100_58",1
"100_59",1
"100_61",0.6667
"100_70",0.7885
"101_16",0.6667
"101_17",0.7586
"101_18",0.6494
"101_57",1
"101_58",1
"101_62",0.6
"101_70",0.8935
"101_71",1
"102_18",0.4667
"102_19",0.5545
"102_56",0.3333
"102_57",0.84
"102_62",1
"102_69",0.8346
"102_70",1
"102_71",0.2838
"103_18",1
"103_21",0.5091
"103_22",0.6571
"103_51",0.8686
"103_52",0.9636
"103_53",0.9069
"103_54",0.7662
"103_55",0.9422
"103_56",0.85
"103_57",1
"103_69",1
"103_70",0.1818
"103_71",1
"104_22",1
"104_48",1
"104_50",1
"104_51",0.55
"104_57",0.8444
"104_62",1
"104_69",0.6667
"104_70",1
"104_9",1
"105_25",1
"105_30",0.6667
"105_31",0.6667
"105_32",0.969
"105_33",0.5897
"105_48",1
"105_49",0.4318
"105_50",0.25
"105_9",0.6667
"106_27",1
"106_29",0.6667
"106_31",0.8485
"106_33",0.4048
"106_34",0.6667
"106_46",0.6667
"106_47",0.6667
"106_48",0.6667
"106_70",0.6667
"107_21",0.7576
"107_22",1
"107_23",1
"107_28",0.8333
"107_43",1
"107_46",0.5
"108_27",1
"108_28",1
"109_27",1
"109_28",1
"109_30",0.55
"11_48",1
"11_49",0.9716
"11_66",0.8889
"11_70",0.6667
"110_17",1
"110_25",0.6667
"110_27",0.8698
"110_40",1
"111_29",1
"111_52",0.6667
"112_46",0.8333
"112_70",1
"112_71",1
"113_22",0.6667
"113_23",0.9524
"113_3",1
"113_33",0.5625
"113_46",0.1818
"114_21",1
"114_23",0.898
"114_3",1
"114_50",0.5091
"114_51",0.6667
"114_52",1
"114_71",1
"115_48",0.25
"115_50",0.6606
"115_70",1
"116_51",1
"116_70",1
"117_2",1
"117_70",1
"117_71",1
"12_48",0.75
"12_67",0.3333
"12_70",1
"12_71",1
"120_2",0.6667
"120_49",1
"120_50",0.9074
"120_8",1
"121_2",0.8667
"121_31",0.6667
"121_37",1
"121_38",0.786
"121_43",0.8333
"121_47",1
"121_48",0.9313
"122_2",1
"122_35",1
"122_36",0.898
"122_37",0.2
"122_38",0.9363
"122_39",1
"122_40",1
"122_44",1
"122_45",0.8642
"122_46",0.9351
"122_47",0.8831
"122_48",0.3333
"122_6",1
"122_7",1
"123_2",1
"123_41",1
"124_1",0.8889
"124_2",1
"124_41",0.5
"125_39",1
"125_40",1
"125_41",1
"125_42",1
"125_44",1
"125_71",1
"126_41",1
"127_47",1
"128_49",1
"129_49",1
"129_50",1
"13_22",1
"13_25",0.9359
"13_66",0.25
"13_67",0.9624
"13_68",1
"131_43",0.7679
"132_2",1
"132_39",1
"132_71",1
"133_2",1
"133_28",0.6667
"133_41",0.6875
"134_40",0.8555
"134_41",0.8315
"134_42",0.8511
"135_37",0.4286
"135_38",1
"135_39",0.6667
"135_42",0.6995
"135_43",1
"135_44",0.7619
"136_36",0.9677
"136_37",0.8571
"136_39",0.7483
"136_42",0.6667
"136_43",1
"136_71",1
"137_29",0.6691
"137_32",0.55
"137_36",1
"137_37",0.8431
"137_38",1
"137_42",1
"138_3",1
"138_31",0.6667
"138_32",0.8
"138_46",1
"138_49",1
"139_31",1
"139_43",0.537
"139_44",0.3333
"139_45",1
"139_46",1
"139_47",0.3333
"139_48",0.6667
"139_49",0.4
"14_24",1
"14_25",0.9518
"14_67",0.7619
"140_29",1
"140_30",0.6753
"140_31",1
"140_32",1
"140_47",1
"140_48",1
"140_49",0.8333
"141_18",1
"141_19",0.3333
"141_20",0.5
"141_21",0.6667
"141_22",0.6033
"141_30",1
"141_31",0.5
"141_40",0.7714
"141_49",0.882
"141_50",0.8792
"142_15",0.601
"142_16",0.9385
"142_17",0.8889
"142_22",1
"142_23",0.5
"142_24",1
"142_3",1
"142_30",0.9385
"142_31",1
"142_39",0.7619
"142_49",1
"142_50",0.9124
"142_71",0.5
"143_15",0.8025
"143_23",0.6667
"143_24",1
"143_30",0.8
"143_37",0.6667
"143_40",1
"143_51",0.9603
"144_15",0.6667
"144_23",0.8889
"144_24",1
"144_25",1
"144_30",0.9305
"144_32",0.8333
"144_37",1
"144_38",0.6172
"144_39",0.5465
"144_41",0.4444
"144_42",0.25
"144_43",0.7991
"144_44",1
"144_46",1
"144_50",0.7962
"144_51",0.8333
"144_52",1
"144_57",0.8741
"144_58",1
"145_15",0.9143
"145_24",1
"145_25",0.8889
"145_26",1
"145_27",1
"145_30",1
"145_35",1
"145_36",1
"145_40",0.6667
"145_41",1
"145_44",0.8781
"145_45",1
"145_49",0.4402
"145_50",0.6625
"145_51",0.8159
"145_53",1
"145_54",0.8889
"145_57",1
"145_58",1
"145_59",1
"146_15",1
"146_25",1
"146_26",0.7333
"146_27",1
"146_28",0.6706
"146_30",1
"146_32",0.4074
"146_37",0.25
"146_41",0.8897
"146_42",0.9134
"146_43",0.7504
"146_44",1
"146_51",0.625
"146_8",1
"147_26",0.64
"147_30",0.4286
"147_31",1
"147_37",0.9496
"147_40",0.7525
"147_41",0.5091
"147_42",0.6694
"147_51",0.5
"147_56",0.791
"147_57",0.7731
"147_58",0.9271
"148_27",1
"148_30",1
"148_33",0.4525
"148_36",1
"148_52",0.7452
"148_55",0.6667
"148_56",0.5102
"148_57",0.9464
"148_58",0.8498
"148_71",1
"149_15",0.9308
"149_27",1
"149_28",0.6429
"149_29",1
"149_33",1
"149_34",0.88
"149_35",0.8461
"149_36",0.6667
"149_53",0.6667
"149_54",0.6667
"149_55",0.4857
"149_56",0.6617
"149_57",0.5423
"149_58",0.7672
"15_26",0.3333
"15_67",0.2
"15_68",1
"15_70",1
"150_14",0.6364
"150_15",1
"150_28",1
"150_29",0.1818
"150_32",0.7619
"150_33",1
"150_37",1
"150_55",0.8889
"150_56",1
"150_58",0.6
"150_60",1
"150_61",0.9143
"151_11",1
"151_14",0.4
"151_15",1
"151_16",0.6571
"151_28",1
"151_32",0.8333
"151_40",0.8249
"151_56",1
"151_57",0.6667
"151_60",1
"152_14",1
"152_15",0.9143
"152_28",1
"152_35",1
"152_56",0.746
"152_57",1
"152_61",0.9259
"153_14",0.95
"153_15",0.9657
"153_16",1
"153_2",1
"153_42",1
"153_56",0.4074
"153_57",0.3827
"153_58",0.6667
"153_61",1
"153_71",0.6667
"154_13",0.8704
"154_14",0.25
"154_2",1
"154_56",0.6667
"154_57",0.7968
"154_58",0.6667
"154_60",1
"154_61",1
"154_62",1
"155_13",0.8819
"155_2",0.625
"155_28",1
"155_29",0.8
"155_52",1
"155_58",0.8438
"155_59",0.9494
"155_60",0.6667
"155_62",0.8333
"155_63",1
"156_11",1
"156_12",0.8057
"156_13",0.9941
"156_2",1
"156_26",0.4857
"156_27",1
"156_4",1
"156_44",0.9702
"156_47",1
"156_61",0.6667
"156_62",1
"156_71",1
"157_10",0.8963
"157_11",1
"157_12",0.9604
"157_13",1
"157_24",0.8586
"157_25",0.8095
"157_26",0.915
"157_27",1
"157_29",1
"157_30",0.2
"157_32",1
"157_45",0.6667
"157_61",0.5
"157_9",1
"158_11",0.9578
"158_12",0.8954
"158_13",0.9
"158_23",0.7057
"158_24",0.6625
"158_25",1
"158_33",1
"158_8",1
"159_13",0.9352
"159_14",0.9891
"159_15",0.9773
"159_16",0.9449
"159_21",0.3333
"159_23",1
"159_25",1
"159_32",0.8333
"159_34",1
"159_40",1
"16_25",1
"16_4",1
"16_64",1
"16_67",0.5
"16_68",0.7551
"16_70",0.6667
"160_15",0.1111
"160_16",0.9709
"160_17",0.9752
"160_18",0.9153
"160_19",0.959
"160_20",0.9259
"160_21",0.679
"160_29",1
"160_33",0.6667
"160_40",0.1818
"160_53",1
"161_17",1
"161_18",0.9
"161_19",1
"161_20",1
"161_21",0.6667
"161_4",0.8333
"162_30",1
"163_16",1
"163_17",0.6932
"163_18",1
"163_19",1
"163_30",0.8564
"163_4",1
"163_5",1
"163_6",0.8
"163_65",0.625
"164_11",1
"164_30",0.7714
"164_7",0.4857
"165_2",0.3333
"165_23",0.7778
"165_39",0.8442
"165_7",0.8333
"165_71",0.6667
"165_8",1
"166_0",0.3571
"166_13",1
"166_2",1
"166_22",0.8274
"166_23",0.9081
"166_66",0.5
"166_7",1
"166_71",0.8889
"166_8",1
"167_0",0.8384
"167_10",0.3333
"167_12",1
"167_15",1
"167_18",0.7176
"167_21",1
"167_22",0.9246
"167_23",0.9594
"167_25",1
"167_26",1
"167_41",0.957
"167_42",1
"167_66",0.5
"167_7",0.6429
"167_71",1
"167_9",0.9089
"168_0",0.8207
"168_1",1
"168_10",0.3333
"168_11",1
"168_13",1
"168_23",0.8889
"168_24",0.8333
"168_25",0.8438
"168_42",1
"168_6",0.6667
"168_7",0.8889
"168_8",1
"168_9",0.9584
"169_0",0.6617
"169_1",0.9481
"169_10",0.9422
"169_11",0.8833
"169_15",0.7778
"169_2",0.9074
"169_40",0.9621
"169_41",0.881
"169_9",0.9155
"17_25",1
"17_4",1
"170_1",0.9421
"170_10",0.9881
"170_11",0.8752
"170_12",0.9906
"170_13",0.9583
"170_14",0.9813
"170_15",0.9649
"170_37",0.3333
"170_38",1
"170_7",1
"171_0",0.6503
"171_1",0.6818
"171_10",1
"171_11",0.9521
"171_12",0.9906
"171_13",0.9745
"171_14",0.9912
"171_23",1
"171_34",1
"171_71",1
"172_0",0.7128
"172_1",0.5
"172_10",1
"172_11",1
"172_12",0.8684
"172_13",0.6289
"172_14",1
"172_15",1
"172_24",0.9506
"172_25",0.8967
"172_65",1
"172_70",1
"173_101",1
"173_135",1
"173_136",0.6667
"173_137",1
"173_71",0.4
"173_79",1
"173_81",1
"173_82",1
"173_86",1
"173_95",0.1429
"173_96",0.8593
"18_24",1
"18_67",0.625
"18_70",0.8889
"19_22",1
"19_29",1
"19_30",0.6667
"2_0",0.3333
"2_10",1
"2_22",0.25
"2_23",1
"2_26",1
"2_67",0.9351
"2_69",1
"2_70",1
"20_56",1
"20_65",0.8333
"20_67",0.9545
"21_65",1
"21_66",0.9906
"21_67",0.9435
"21_70",1
"22_64",1
"22_65",0.9529
"22_66",0.8785
"22_67",0.625
"22_70",1
"23_30",1
"23_61",1
"23_62",0.8889
"23_64",0.537
"23_65",0.9817
"23_66",0.9393
"23_70",1
"24_3",0.8333
"24_61",0.5
"24_64",0.9603
"24_65",0.887
"24_66",0.6667
"25_1",1
"25_59",0.1818
"25_61",0.8765
"25_62",1
"25_63",0.9058
"25_64",0.9721
"25_65",0.25
"26_59",0.9715
"26_60",0.9879
"26_61",0.9812
"26_62",0.9063
"26_63",0.993
"26_64",0.9866
"27_2",1
"27_56",0.9167
"27_57",0.8586
"27_58",0.99
"27_59",0.9801
"27_61",0.7857
"27_62",0.9747
"27_63",0.997
"27_64",0.8714
"28_3",1
"28_56",0.9548
"28_57",0.9852
"28_58",0.9698
"29_53",1
"29_55",0.5098
