"id","SC"
"29_56",0.9806
"3_0",0.6571
"3_1",1
"3_52",1
"3_65",1
"3_67",0.625
"3_68",1
"3_69",0.1
"3_70",1
"30_53",1
"30_54",1
"30_55",0.9771
"30_56",0.9658
"31_2",1
"31_3",1
"31_52",0.3801
"31_53",0.8031
"31_54",0.6957
"31_55",0.8333
"31_70",1
"32_2",1
"32_25",1
"32_52",0.7577
"32_53",0.8377
"32_54",0.6667
"32_55",0.9323
"33_19",1
"33_50",1
"33_51",0.8817
"33_52",0.9184
"33_53",0.9127
"34_19",0.7333
"34_50",0.6617
"34_51",1
"34_52",1
"34_70",1
"35_48",0.6667
"35_49",0.5817
"35_50",0.9528
"35_70",1
"36_41",1
"36_43",1
"36_44",0.6667
"36_48",0.863
"36_49",0.8881
"37_3",1
"37_47",0.7545
"38_46",0.1818
"38_47",1
"39_46",0.2857
"39_49",0.2615
"39_50",1
"39_52",0.881
"39_53",0.8857
"4_0",0.4667
"4_27",1
"4_65",1
"4_68",1
"40_46",0.8741
"40_47",0.55
"40_48",0.8519
"40_52",0.1429
"40_53",0.3787
"41_52",1
"41_53",0.5288
"41_54",0.9111
"41_71",1
"42_35",0.9105
"42_36",1
"42_37",1
"42_48",0.8
"42_49",0.9333
"42_50",1
"42_51",1
"42_52",1
"42_53",0.5494
"42_68",1
"43_35",0.9067
"43_36",0.94
"43_44",0.6667
"43_48",1
"43_49",0.873
"43_5",1
"43_50",0.959
"43_51",0.5556
"43_52",0.9176
"43_53",0.9693
"43_54",1
"44_13",1
"44_23",1
"44_44",1
"44_46",0.9197
"44_47",0.9573
"44_48",0.9572
"44_49",1
"44_50",0.6667
"44_52",1
"44_53",0.9507
"44_54",0.6859
"44_71",1
"45_2",1
"45_39",1
"45_42",0.1111
"45_43",0.7
"45_46",0.9254
"45_48",1
"45_49",0.76
"45_51",1
"45_52",1
"45_53",1
"45_54",0.8333
"46_41",0.6667
"46_42",0.2643
"46_43",1
"46_47",1
"46_49",1
"46_50",1
"46_51",0.9
"46_52",0.6786
"46_53",0.8716
"46_54",1
"46_68",1
"47_15",1
"47_31",1
"47_32",0.95
"47_33",0.6667
"47_34",0.8504
"47_35",0.7778
"47_40",0.5
"47_41",0.1818
"47_42",0.9859
"47_43",0.9222
"47_44",0.8125
"47_45",1
"47_48",0.9035
"47_49",1
"47_50",0.4074
"47_51",0.9425
"47_52",0.8477
"47_53",0.8762
"47_54",0.9321
"47_55",0.7783
"47_66",1
"47_71",1
"48_15",1
"48_19",1
"48_3",1
"48_30",1
"48_34",0.8333
"48_35",1
"48_36",0.625
"48_37",1
"48_40",1
"48_41",0.0455
"48_42",0.7662
"48_46",1
"48_48",0.8333
"48_49",1
"48_50",0.8333
"48_51",0.9407
"48_52",0.8366
"48_53",0.7762
"48_54",1
"48_55",0.9743
"48_56",0.9111
"48_65",0.6667
"48_66",0.6667
"48_70",1
"49_15",0.5
"49_27",1
"49_28",1
"49_29",0.9143
"49_38",1
"49_39",1
"49_41",1
"49_42",0.8333
"49_47",0.9519
"49_48",1
"49_5",1
"49_51",0.8406
"49_52",0.668
"49_55",0.6667
"49_56",0.7647
"49_58",1
"49_59",1
"49_66",1
"49_71",1
"5_0",1
"5_27",1
"5_67",0.8929
"5_69",1
"5_70",0.9429
"50_13",1
"50_15",1
"50_26",0.5
"50_27",0.9352
"50_4",1
"50_41",1
"50_42",0.837
"50_43",0.7545
"50_48",0.6786
"50_5",1
"50_50",0.6327
"50_51",0.6321
"50_56",0.5959
"50_57",0.7847
"50_58",0.9245
"50_59",0.82
"50_6",1
"50_7",0.5325
"50_71",1
"50_8",0.4545
"50_9",0.3333
"51_10",0.9494
"51_11",0.9589
"51_12",0.8566
"51_13",0.7333
"51_14",0.9777
"51_15",0.6667
"51_25",0.6667
"51_43",0.707
"51_47",1
"51_49",1
"51_57",1
"51_58",0.89
"51_59",0.872
"51_6",0.8222
"51_60",0.9353
"51_7",1
"51_8",1
"51_9",1
"52_15",0.9724
"52_16",0.9587
"52_17",0.9133
"52_18",1
"52_19",0.8396
"52_2",1
"52_20",1
"52_21",0.9769
"52_22",0.7778
"52_23",0.9333
"52_24",1
"52_25",1
"52_4",1
"52_43",0.8286
"52_44",1
"52_47",0.4074
"52_48",0.76
"52_49",1
"52_58",0.3386
"52_59",0.9856
"52_6",0.8653
"52_60",0.9556
"52_61",0.8798
"52_63",0.4231
"52_71",1
"53_2",0.5
"53_23",0.7714
"53_4",1
"53_43",0.9921
"53_44",0.9
"53_47",0.7619
"53_48",0.7662
"53_5",1
"53_58",1
"53_59",0.9364
"53_6",0.8485
"53_60",0.9294
"53_61",0.9415
"53_63",0.998
"53_67",1
"53_68",1
"53_69",0.9143
"53_71",1
"54_10",0.6786
"54_2",0.8889
"54_42",1
"54_43",1
"54_47",0.9858
"54_48",1
"54_5",1
"54_59",0.8249
"54_6",0.9286
"54_60",0.9217
"54_61",0.9081
"54_62",0.951
"54_63",0.9946
"54_64",1
"54_7",0.8112
"54_71",1
"54_8",0.6667
"54_9",0.951
"55_10",0.8391
"55_11",1
"55_2",0.9571
"55_3",0.3333
"55_42",0.8667
"55_43",0.8607
"55_47",0.9742
"55_48",1
"55_55",0.9757
"55_6",0.7632
"55_60",0.7372
"55_61",0.8728
"55_62",1
"55_63",1
"55_64",0.9951
"55_68",1
"55_69",0.25
"55_7",1
"55_71",1
"55_8",1
"56_12",1
"56_2",0.1818
"56_3",0.3827
"56_43",1
"56_46",0.6786
"56_47",0.8935
"56_5",1
"56_6",0.75
"56_60",0.6667
"56_61",0.9591
"56_62",1
"56_63",0.9981
"56_64",1
"56_7",0.6667
"56_71",1
"57_13",1
"57_2",1
"57_3",0.5556
"57_42",0.775
"57_43",0.7619
"57_44",0.5897
"57_45",0.9637
"57_46",0.974
"57_6",1
"57_61",0.6211
"57_62",1
"57_63",0.9961
"57_64",1
"57_67",1
"57_68",1
"57_7",0.6667
"58_12",1
"58_13",1
"58_3",0.82
"58_44",0.4436
"58_6",0.625
"58_61",0.8639
"58_62",0.825
"58_63",0.996
"58_64",1
"58_65",1
"58_66",0.6667
"58_69",1
"58_7",0.9136
"58_70",1
"58_71",1
"59_13",0.7949
"59_14",0.1429
"59_3",0.7731
"59_4",0.64
"59_40",0.6667
"59_41",1
"59_58",1
"59_61",0.9098
"59_62",0.8615
"59_63",1
"59_64",0.9645
"59_65",1
"59_66",1
"59_69",0.4667
"59_7",1
"59_70",1
"59_71",1
"6_0",0.4286
"6_50",1
"6_65",0.7837
"6_66",1
"6_67",0.8333
"6_69",0.6786
"6_70",0.9119
"60_13",1
"60_15",1
"60_3",0.55
"60_40",1
"60_62",0.8
"60_63",0.7619
"60_64",0.25
"60_65",1
"60_67",1
"60_68",0.6667
"60_69",0.6667
"61_15",1
"61_16",1
"61_4",0.6667
"61_40",1
"61_61",0.625
"61_62",0.3386
"61_63",0.8056
"61_64",1
"61_65",1
"61_68",1
"61_69",0.25
"61_70",0.5091
"62_16",1
"62_18",1
"62_39",1
"62_62",1
"62_70",0.75
"63_18",0.6667
"63_19",0.9502
"63_20",1
"63_3",1
"63_4",0.1818
"63_41",1
"63_66",1
"64_21",0.9359
"64_36",1
"64_4",0.7353
"64_42",1
"64_62",1
"64_65",1
"64_67",1
"64_68",1
"64_9",1
"65_10",0.6667
"65_2",1
"65_21",0.5091
"65_3",0.7778
"65_4",0.75
"65_44",1
"65_5",0.6667
"65_52",1
"65_6",1
"66_21",0.68
"66_22",1
"66_3",1
"66_34",1
"66_4",0.5
"66_42",1
"66_58",1
"66_6",1
"67_12",1
"67_23",1
"67_3",1
"67_37",1
"67_67",1
"68_13",1
"68_14",1
"68_24",1
"68_25",1
"68_27",1
"68_28",1
"68_33",1
"68_5",1
"68_6",0.8821
"69_14",1
"69_15",0.8333
"69_29",1
"69_30",1
"69_32",1
"69_33",1
"69_4",1
"69_6",0.7717
"69_63",1
"7_41",1
"7_65",0.6667
"7_68",1
"7_69",1
"7_70",0.75
"70_5",1
"70_57",1
"70_6",1
"70_69",1
"71_33",1
"71_4",0.6667
"71_58",1
"71_59",1
"71_69",1
"71_70",1
"72_0",1
"72_23",1
"72_35",1
"72_48",1
"72_69",0.6667
"73_4",0.6667
"73_5",0.8526
"73_58",0.8333
"73_68",0.64
"73_69",1
"73_71",1
"74_46",0.9333
"74_5",1
"74_51",1
"74_58",0.3333
"74_71",1
"75_0",0.4
"75_45",0.8333
"75_46",0.6786
"75_68",1
"75_69",1
"75_70",0.8667
"75_71",0.5
"76_0",0.6296
"76_1",1
"76_55",1
"76_56",1
"76_57",1
"76_68",1
"76_69",1
"76_71",0.5
"77_42",1
"77_58",1
"77_68",1
"77_71",0.6667
"78_1",1
"78_45",0.6667
"78_48",1
"78_49",1
"78_53",0.9531
"78_55",0.6584
"78_56",1
"78_63",1
"78_69",1
"78_71",1
"79_1",1
"79_50",1
"79_51",1
"79_53",0.8721
"79_54",1
"79_58",1
"79_59",0.8889
"79_6",1
"79_61",0.6667
"79_63",0.6667
"79_66",0.25
"79_69",1
"79_70",1
"8_0",0.55
"8_39",0.6667
"8_40",1
"8_65",1
"8_66",0.7857
"8_67",1
"8_69",1
"80_1",0.8246
"80_13",1
"80_14",1
"80_53",0.9245
"80_54",0.596
"80_61",1
"80_64",1
"80_65",0.6667
"80_66",1
"80_71",1
"81_1",0.6528
"81_54",0.6667
"81_62",0.7812
"81_63",1
"81_64",0.9477
"81_65",0.9909
"81_66",0.7857
"81_67",0.625
"81_71",1
"82_54",1
"82_55",1
"82_58",0.9866
"82_59",0.9898
"82_60",0.9936
"82_61",0.9337
"82_63",0.7762
"82_64",0.9946
"82_65",0.9935
"82_66",0.9893
"82_67",0.9579
"82_68",1
"82_69",1
"82_70",0.4
"82_71",1
"83_56",1
"83_57",0.5865
"83_58",0.9315
"83_61",0.8091
"83_63",1
"83_64",1
"83_65",0.9924
"83_66",0.9971
"83_67",0.9965
"83_69",0.6667
"83_71",1
"84_26",1
"84_57",0.84
"84_58",0.9234
"84_61",0.9691
"84_63",0.9936
"84_64",0.998
"84_65",0.9981
"84_66",0.9982
"84_67",0.9926
"85_57",0.7222
"85_58",0.9118
"85_61",0.9614
"85_62",0.9444
"85_63",0.9966
"85_64",0.998
"85_65",0.9658
"85_66",0.9935
"85_67",0.9976
"85_68",1
"85_69",0.8889
"85_71",1
"86_57",0.4444
"86_58",0.9912
"86_59",0.9838
"86_61",0.9723
"86_62",0.9534
"86_63",0.9744
"86_64",0.9939
"86_65",0.9849
"86_66",0.987
"86_67",0.9755
"86_68",0.9754
"86_69",1
"87_19",1
"87_59",0.8311
"87_60",1
"87_64",0.994
"87_65",0.9953
"87_66",0.957
"87_67",0.9681
"87_68",0.9518
"87_69",1
"87_71",1
"88_15",1
"88_16",1
"88_58",0.76
"88_59",0.9883
"88_60",0.983
"88_61",0.9786
"88_64",0.9896
"88_65",0.926
"88_66",0.9774
"88_67",0.8788
"88_68",0.7946
"88_70",1
"89_61",0.9967
"89_65",0.979
"89_66",0.7857
"89_67",0.9672
"89_68",0.9802
"89_69",1
"89_70",0.7714
"9_22",0.6
"9_49",0.9479
"9_65",1
"9_66",1
"9_67",1
"9_70",1
"90_36",0.5
"90_58",1
"90_59",0.9182
"90_60",0.961
"90_61",0.9549
"90_65",0.9626
"90_66",0.9162
"90_67",0.8428
"90_68",0.98
"90_69",0.9114
"90_70",1
"90_71",1
"91_57",1
"91_59",0.8902
"91_60",0.986
"91_61",0.9815
"91_65",0.8026
"91_66",0.8313
"91_67",0.9512
"91_68",0.8664
"91_69",0.9303
"91_70",1
"92_26",1
"92_31",1
"92_56",1
"92_57",0.5
"92_58",0.6321
"92_60",0.8311
"92_61",0.7727
"92_62",0.967
"92_66",0.9659
"92_67",0.9916
"92_68",1
"92_69",0.8523
"92_70",0.8221
"92_71",1
"93_21",1
"93_23",1
"93_30",1
"93_57",1
"93_58",0.8762
"93_59",0.8154
"93_60",0.8456
"93_61",0.9748
"93_62",0.9781
"93_66",0.7318
"93_69",0.9354
"93_70",0.8909
"93_71",0.527
"94_16",0.3333
"94_17",0.6667
"94_18",0.3506
"94_19",0.7545
"94_55",1
"94_57",1
"94_58",0.8559
"94_59",0.9567
"94_60",0.7734
"94_61",0.9599
"94_66",1
"94_69",0.7593
"94_70",0.8748
"94_71",0.1818
"95_15",0.9891
"95_16",0.9461
"95_17",0.9351
"95_18",1
"95_59",0.8926
"95_60",0.8883
"95_61",1
"95_70",0.9574
"95_71",0.9595
"96_14",1
"96_15",0.9752
"96_58",1
"96_59",0.8307
"96_60",0.5758
"96_70",0.9742
"96_71",0.6592
"97_14",0.3333
"97_15",0.8952
"97_57",1
"97_58",0.9671
"97_59",0.9079
"97_70",0.8866
"97_71",0.7333
"98_15",0.8682
"98_57",0.9182
"98_58",0.9097
"98_59",0.963
"98_60",0.8384
"98_70",0.8971
"98_71",0.0476
"99_15",0.9294
"99_57",0.9056
"99_58",0.9242
"99_59",0.8741
"99_70",0.7448
"99_71",0.6667
