,tile_id,SC1,SC2,SC3,SC4,SC5,SC6,SC7
0,0_0,0.1719,0.5496,0.7274,0.8492,0.9117,0.957,0.9885
1,0_16,0.246,0.4065,0.5965,0.7218,0.765,0.803,0.8395
2,0_17,0.259,0.3787,0.446,0.51,0.5467,0.5864,0.6385
3,0_2,0.093,0.2375,0.3478,0.5004,0.605,0.6854,0.7615
4,0_4,0.5,0.5,0.5,0.667,0.667,0.667,0.8149
5,0_5,0.083,0.083,0.1586,0.2334,0.333,0.417,0.602
6,0_6,0.227,0.3733,0.486,0.6394,0.7132,0.745,0.7725
7,1_0,0.248,0.248,0.438,0.579,0.7234,0.781,0.825
8,1_12,0.238,0.238,0.427,0.5928,0.781,0.905,1.0
9,1_16,0.157,0.3625,0.5224,0.6456,0.713,0.7552,0.787
10,1_17,0.353,0.7563,0.8623,0.9234,0.9499,0.9664,0.9755
11,1_6,0.333,0.333,0.5337,0.6624,0.756,0.778,0.854
12,10_11,0.152,0.37,0.5126,0.663,0.7315,0.7476,0.755
13,10_12,0.138,0.6376,0.7931,0.9006,0.9426,0.966,0.9765
14,10_13,0.192,0.7819,0.8712,0.9176,0.9361,0.9472,0.9515
15,10_8,0.435,0.7155,0.8004,0.8794,0.9119,0.9298,0.9375
16,10_9,0.594,0.7127,0.7469,0.792,0.8476,0.896,0.959
17,11_10,0.169,0.6391,0.778,0.874,0.9149,0.9354,0.9435
18,11_11,0.323,0.8034,0.8743,0.9216,0.9428,0.9532,0.958
19,11_12,0.292,0.8796,0.9216,0.9453,0.9534,0.9576,0.96
20,11_13,0.176,0.8078,0.8961,0.9388,0.9551,0.9652,0.9695
21,11_8,0.289,0.6175,0.7269,0.8151,0.8536,0.8758,0.8935
22,12_1,0.123,0.2902,0.3981,0.5324,0.6423,0.7048,0.755
23,12_10,0.099,0.4772,0.6776,0.8132,0.8599,0.8814,0.8925
24,12_11,0.3469,0.6503,0.7969,0.8804,0.9079,0.9214,0.931
25,12_12,0.269,0.7586,0.8506,0.9274,0.9518,0.9596,0.963
26,12_13,0.097,0.5269,0.6985,0.8106,0.8651,0.9012,0.9215
27,12_14,0.0709,0.7352,0.8646,0.9276,0.9461,0.9552,0.96
28,12_15,0.356,0.6329,0.7805,0.867,0.8996,0.9194,0.937
29,12_16,0.3,0.3,0.3,0.5,0.5699,0.6,0.7775
30,12_2,0.118,0.7298,0.8594,0.931,0.9521,0.9612,0.966
31,12_3,0.255,0.8028,0.8643,0.9,0.9158,0.9258,0.9315
32,12_6,0.325,0.6681,0.8505,0.9034,0.906,0.906,0.9115
33,12_7,0.372,0.7799,0.8773,0.9296,0.9615,0.9854,1.0
34,12_9,0.19,0.19,0.3358,0.4592,0.59,0.667,0.7725
35,13_0,0.193,0.4338,0.5729,0.7242,0.8085,0.8632,0.913
36,13_1,0.1409,0.6052,0.7747,0.8844,0.9186,0.9368,0.9455
37,13_10,0.275,0.7636,0.866,0.9438,0.9725,0.9842,0.989
38,13_11,0.333,0.9234,0.948,0.9654,0.9734,0.9792,0.982
39,13_12,0.237,0.5968,0.7437,0.8616,0.9124,0.9344,0.944
40,13_13,0.354,0.7051,0.8447,0.9336,0.9561,0.9692,0.9765
41,13_14,0.133,0.8313,0.9123,0.9536,0.9711,0.9812,0.986
42,13_15,0.206,0.9676,0.9845,0.9928,0.995,0.9966,0.997
43,13_16,0.364,0.9831,0.9917,0.9968,0.998,0.999,1.0
44,13_17,0.093,0.1756,0.2547,0.412,0.5818,0.699,0.8235
45,13_2,0.341,0.8594,0.9308,0.9668,0.9821,0.9906,1.0
46,13_3,0.237,0.4004,0.6215,0.7942,0.9026,0.943,0.975
47,13_4,0.207,0.8082,0.881,0.9398,0.9655,0.9798,0.986
48,13_5,0.316,0.8287,0.9263,0.9554,0.9624,0.9666,0.97
49,13_6,0.305,0.6508,0.854,0.948,0.9724,0.98,1.0
50,14_0,0.179,0.6043,0.7625,0.857,0.8966,0.9246,0.942
51,14_1,0.096,0.2493,0.3674,0.5599,0.6669,0.739,0.8089
52,14_10,0.153,0.2727,0.383,0.595,0.6989,0.7632,0.807
53,14_11,0.34,0.8838,0.9208,0.9442,0.9564,0.9646,0.968
54,14_15,0.314,0.973,0.9855,0.9918,0.994,0.995,0.995
55,14_16,0.2849,0.9852,0.9937,0.998,0.999,0.999,1.0
56,14_17,0.034,0.034,0.068,0.137,0.1947,0.26,0.3555
57,14_3,0.295,0.556,0.6289,0.7004,0.7335,0.7494,0.76
58,15_0,0.222,0.222,0.222,0.222,0.444,0.444,0.84
59,15_1,0.067,0.067,0.067,0.133,0.2,0.267,0.4215
60,15_10,0.333,0.333,0.5301,0.6592,0.762,0.81,0.9065
61,15_15,0.105,0.271,0.4479,0.6396,0.7216,0.7614,0.778
62,15_16,0.032,0.032,0.063,0.095,0.1493,0.19,0.2674
63,15_17,0.158,0.2653,0.4051,0.5354,0.6072,0.6618,0.7104
64,15_3,0.756,0.8668,0.9131,0.9518,0.9637,0.966,1.0
65,15_4,0.263,0.584,0.7548,0.8902,0.9221,0.926,0.936
66,15_5,0.367,0.367,0.619,0.8692,0.952,0.9944,1.0
67,16_0,0.095,0.095,0.19,0.2859,0.4474,0.5709,0.7695
68,16_1,0.198,0.3234,0.419,0.5602,0.6542,0.716,0.791
69,16_5,0.249,0.6747,0.8337,0.9194,0.9434,0.9532,0.9564
70,17_1,0.221,0.5909,0.6885,0.763,0.818,0.8646,0.901
71,17_8,0.417,0.417,0.5664,0.6166,0.625,0.625,0.7015
72,18_1,0.205,0.3532,0.5619,0.7512,0.8017,0.8242,0.836
73,18_11,0.3469,0.5493,0.6716,0.7826,0.8224,0.8478,0.8845
74,18_14,0.167,0.167,0.312,0.542,0.6683,0.7416,0.786
75,18_17,0.091,0.1651,0.2882,0.4192,0.5125,0.5868,0.6695
76,19_0,0.187,0.187,0.335,0.5108,0.58,0.6198,0.6515
77,19_13,0.241,0.7785,0.8722,0.932,0.9568,0.9718,0.979
78,19_14,0.644,0.7542,0.779,0.806,0.834,0.856,0.888
79,19_15,0.488,0.7122,0.8856,0.9356,0.9488,0.9604,0.9755
80,19_17,0.029,0.0556,0.0831,0.1372,0.1912,0.2458,0.3265
81,2_12,0.177,0.8067,0.8972,0.9386,0.9551,0.9662,0.972
82,2_16,0.376,0.5365,0.6608,0.753,0.8222,0.8778,0.9185
83,2_5,0.25,0.25,0.25,0.417,0.475,0.5,0.64
84,20_0,0.333,0.5201,0.645,0.782,0.8193,0.8374,0.8515
85,20_13,0.235,0.7114,0.8105,0.8818,0.9143,0.9344,0.9455
86,20_14,0.247,0.953,0.9754,0.9838,0.9877,0.99,0.991
87,20_15,0.25,0.8652,0.9163,0.9566,0.9741,0.9832,0.986
88,20_16,0.2829,0.9885,0.9948,0.9978,0.999,0.999,0.999
89,20_17,0.195,0.3061,0.3705,0.4202,0.429,0.429,0.45
90,20_3,0.773,0.773,0.9368,0.991,1.0,1.0,1.0
91,21_14,0.243,0.9471,0.9731,0.9876,0.992,0.994,0.994
92,21_15,0.218,0.9759,0.9876,0.994,0.9967,0.9976,0.998
93,21_16,0.22,0.9968,0.9989,0.999,1.0,1.0,1.0
94,21_17,0.202,0.8506,0.9119,0.9508,0.9654,0.9726,0.976
95,22_14,0.3479,0.8467,0.8955,0.941,0.9699,0.9904,1.0
96,22_15,0.2819,0.9701,0.9875,0.9948,0.997,0.9976,0.998
97,22_16,0.148,0.9344,0.966,0.9834,0.9897,0.9936,0.995
98,22_17,0.213,0.8961,0.9346,0.9602,0.9714,0.9766,0.978
99,23_14,0.289,0.7914,0.8612,0.9184,0.9378,0.9482,0.954
100,23_15,0.264,0.9198,0.9499,0.9712,0.9804,0.9856,0.987
