,tile_id,SC1,SC2,SC3,SC4,SC5,SC6,SC7
111,27_32,0.364,0.9831,0.9917,0.9968,0.998,0.999,1.0
112,27_34,0.133,0.133,0.133,0.133,0.267,0.267,0.5535
113,27_4,0.4079,0.6046,0.722,0.8324,0.8835,0.919,0.9665
114,27_5,0.39,0.8546,0.9149,0.9538,0.9691,0.9762,0.98
115,28_1,0.258,0.5538,0.7457,0.8538,0.8885,0.906,0.9145
116,28_21,0.218,0.3776,0.5012,0.6658,0.77,0.8189,0.8505
117,28_22,0.356,0.7894,0.8622,0.92,0.9418,0.9522,0.958
118,28_23,0.368,0.856,0.9129,0.9472,0.9631,0.9722,0.976
119,28_3,0.083,0.083,0.1433,0.19,0.233,0.25,0.2945
120,28_30,0.19,0.5359,0.6542,0.7836,0.8495,0.8946,0.9235
121,28_31,0.436,0.9783,0.9896,0.9968,0.998,0.999,1.0
122,28_32,0.338,0.9619,0.9872,0.9978,1.0,1.0,1.0
123,28_6,0.442,0.6481,0.764,0.8568,0.8744,0.875,0.899
124,29_1,0.124,0.3145,0.5095,0.7048,0.7819,0.8242,0.8525
125,29_22,0.084,0.084,0.16,0.227,0.3209,0.378,0.459
126,29_3,0.1,0.1883,0.2713,0.432,0.5933,0.6929,0.783
127,29_30,0.183,0.5237,0.7331,0.8504,0.8889,0.9074,0.9165
128,29_31,0.222,0.9043,0.9427,0.9682,0.9784,0.9836,0.986
129,29_32,0.251,0.9728,0.9867,0.9928,0.996,0.997,1.0
130,29_33,0.267,0.267,0.267,0.267,0.533,0.533,0.9385
131,29_34,0.095,0.095,0.095,0.095,0.19,0.19,0.407
132,29_35,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
133,29_6,0.388,0.5305,0.5901,0.6418,0.6711,0.6859,0.7095
134,3_0,0.111,0.111,0.111,0.111,0.222,0.222,0.4695
135,3_25,0.238,0.238,0.427,0.5928,0.781,0.905,1.0
136,3_32,0.156,0.2719,0.3635,0.502,0.5951,0.641,0.6825
137,3_33,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
138,3_34,0.148,0.148,0.2614,0.3572,0.459,0.519,0.6054
139,3_35,0.324,0.6359,0.762,0.8582,0.8895,0.9098,0.922
140,30_30,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
141,30_31,0.15,0.3738,0.5279,0.7366,0.814,0.8418,0.853
142,30_32,0.057,0.057,0.057,0.114,0.171,0.229,0.3635
143,30_34,0.045,0.045,0.091,0.1728,0.227,0.3,0.426
144,30_35,0.133,0.133,0.133,0.133,0.267,0.267,0.5535
145,31_10,0.367,0.367,0.619,0.8692,0.952,0.9944,1.0
146,31_35,0.36,0.36,0.36,0.5699,0.67,0.7,0.771
147,31_9,0.298,0.4927,0.7323,0.9104,0.9534,0.96,1.0
148,32_1,0.114,0.114,0.114,0.229,0.343,0.457,0.6975
149,32_10,0.222,0.3911,0.542,0.8,0.9036,0.9616,1.0
150,32_2,0.25,0.25,0.396,0.539,0.6123,0.6916,0.8009
151,33_10,0.5,0.6292,0.6612,0.667,0.667,0.667,0.6865
152,33_11,0.232,0.402,0.6444,0.8692,0.9332,0.9664,1.0
153,34_16,0.5709,0.5709,0.5709,0.714,0.714,0.714,0.825
154,34_3,0.293,0.644,0.7392,0.792,0.8199,0.8374,0.8465
155,36_2,0.185,0.3237,0.527,0.6908,0.7807,0.805,0.8205
156,36_29,0.185,0.185,0.3317,0.4608,0.607,0.704,0.854
157,36_34,0.062,0.062,0.062,0.125,0.169,0.188,0.3345
158,37_23,0.31,0.31,0.524,0.662,0.773,0.81,0.863
159,37_35,0.2819,0.2819,0.4665,0.6022,0.728,0.795,0.899
160,38_0,0.277,0.277,0.277,0.438,0.515,0.538,0.5885
161,39_26,0.253,0.7738,0.8784,0.9342,0.9548,0.9688,0.977
162,39_27,0.212,0.3564,0.4576,0.5722,0.625,0.646,0.681
163,39_31,0.643,0.8501,0.9276,0.967,0.968,0.968,0.975
164,4_11,0.25,0.25,0.25,0.417,0.475,0.5,0.64
165,4_24,0.613,0.7156,0.7588,0.8264,0.8805,0.9182,0.9524
166,4_33,0.438,0.6166,0.709,0.808,0.8663,0.9128,0.9484
167,40_0,0.333,0.5201,0.645,0.782,0.8193,0.8374,0.8515
168,40_26,0.293,0.693,0.7984,0.8602,0.8913,0.9126,0.9255
169,40_27,0.104,0.104,0.195,0.273,0.3743,0.429,0.491
170,40_31,0.3459,0.3459,0.519,0.6348,0.668,0.6888,0.727
171,40_32,0.352,0.9138,0.9517,0.9744,0.9834,0.9876,0.99
172,40_33,0.104,0.104,0.199,0.3476,0.432,0.5216,0.6385
173,40_6,0.722,0.722,0.722,0.722,0.944,0.944,1.0
174,41_28,0.37,0.6062,0.6687,0.7136,0.7297,0.731,0.737
175,41_29,0.255,0.954,0.9764,0.9866,0.9897,0.9926,0.9935
176,41_30,0.312,0.9198,0.9587,0.9804,0.9904,0.9956,0.998
177,41_31,0.119,0.2197,0.319,0.534,0.651,0.7121,0.7364
178,41_32,0.293,0.9738,0.9886,0.9958,0.998,0.999,0.999
179,41_33,0.287,0.9851,0.9928,0.996,0.997,0.998,0.998
180,41_35,0.214,0.214,0.214,0.357,0.4073,0.429,0.5449
181,42_28,0.3,0.6086,0.6806,0.7443,0.7901,0.8264,0.8515
182,42_29,0.48,0.7983,0.8446,0.8868,0.9142,0.935,0.9495
183,42_30,0.355,0.8554,0.8973,0.9374,0.9561,0.9662,0.9715
184,42_31,0.229,0.9727,0.9865,0.9938,0.996,0.997,0.997
185,42_32,0.272,0.9926,0.9969,0.9988,0.999,0.999,0.999
186,42_33,0.25,0.9914,0.9959,0.9978,0.998,0.999,0.999
187,43_29,0.318,0.9486,0.9751,0.9876,0.9917,0.994,0.995
188,43_30,0.207,0.7159,0.8453,0.9308,0.9605,0.9722,0.975
189,43_31,0.219,0.8778,0.9391,0.9674,0.9764,0.9796,0.981
190,43_32,0.227,0.9853,0.9927,0.996,0.9977,0.998,0.999
191,43_33,0.168,0.9388,0.967,0.9836,0.988,0.99,0.991
192,43_34,0.212,0.8441,0.9049,0.9476,0.9634,0.9712,0.975
193,44_29,0.364,0.7916,0.8583,0.9058,0.9359,0.9564,0.9655
194,44_30,0.314,0.9419,0.9759,0.9906,0.9947,0.997,0.998
195,44_32,0.234,0.9404,0.968,0.9846,0.9907,0.9936,0.9945
196,44_33,0.255,0.8519,0.903,0.9428,0.9598,0.9698,0.975
197,44_34,0.211,0.8471,0.9049,0.9438,0.9601,0.9676,0.971
198,44_35,0.35,0.35,0.35,0.55,0.65,0.7,0.8089
