,tile_id,SC1,SC2,SC3,SC4,SC5,SC6,SC7
0,0_1,0.333,0.333,0.333,0.333,0.5,0.5,0.6719
1,0_11,0.4,0.4,0.4,0.65,0.8,0.9,1.0
2,0_2,0.368,0.6833,0.7835,0.8438,0.886,0.9276,0.976
3,0_24,0.222,0.222,0.374,0.536,0.5893,0.6126,0.6455
4,1_0,0.25,0.25,0.25,0.417,0.475,0.5,0.64
5,1_10,0.097,0.1825,0.2608,0.3984,0.526,0.611,0.6995
6,10_49,0.184,0.7371,0.8592,0.933,0.9548,0.9636,0.966
7,100_16,0.157,0.3702,0.5068,0.6919,0.7715,0.8076,0.8314
8,100_70,0.168,0.3029,0.418,0.5904,0.711,0.761,0.797
9,101_17,0.155,0.3604,0.4845,0.6088,0.6807,0.7194,0.763
10,101_18,0.095,0.095,0.1805,0.2668,0.381,0.476,0.681
11,101_62,0.25,0.25,0.25,0.417,0.475,0.5,0.64
12,101_70,0.253,0.504,0.6424,0.7406,0.803,0.852,0.8975
13,102_19,0.156,0.156,0.2712,0.3664,0.462,0.511,0.5649
14,102_57,0.3,0.3,0.514,0.7258,0.786,0.8,0.856
15,102_69,0.268,0.4428,0.577,0.7502,0.8097,0.824,0.839
16,102_71,0.154,0.154,0.154,0.154,0.231,0.231,0.3085
17,103_21,0.133,0.133,0.133,0.133,0.267,0.267,0.5535
18,103_22,0.429,0.429,0.429,0.5709,0.5709,0.5709,0.6915
19,103_51,0.437,0.5859,0.6375,0.7174,0.7904,0.8324,0.8725
20,103_52,0.507,0.6788,0.7611,0.8698,0.9217,0.9506,0.965
21,103_53,0.423,0.6448,0.7032,0.7878,0.8427,0.8806,0.909
22,103_54,0.206,0.206,0.3491,0.4618,0.578,0.651,0.7875
23,103_55,0.328,0.5303,0.676,0.8366,0.8884,0.913,0.946
24,103_56,0.267,0.267,0.4344,0.5546,0.667,0.733,0.8685
25,103_57,0.481,0.481,0.6952,0.8014,0.867,0.889,1.0
26,104_51,0.25,0.25,0.385,0.46,0.5,0.5,0.5725
27,104_57,0.371,0.371,0.586,0.7,0.7772,0.8,0.8615
28,105_32,0.297,0.6634,0.7843,0.848,0.8951,0.9372,0.971
29,105_33,0.1429,0.2456,0.3239,0.4298,0.4959,0.5432,0.5985
30,105_49,0.15,0.15,0.15,0.262,0.338,0.375,0.4575
31,106_31,0.364,0.364,0.364,0.591,0.718,0.782,0.861
32,107_21,0.636,0.636,0.727,0.727,0.727,0.727,0.7715
33,108_27,0.25,0.25,0.25,0.5,0.6749,0.75,1.0
34,11_48,0.253,0.4297,0.6679,0.8426,0.9179,0.9443,1.0
35,11_49,0.197,0.506,0.656,0.8102,0.891,0.9392,0.974
36,110_27,0.235,0.5112,0.6512,0.7692,0.8283,0.854,0.8715
37,113_23,0.593,0.593,0.593,0.593,0.741,0.741,0.966
38,113_33,0.0709,0.0709,0.1429,0.214,0.3356,0.429,0.5895
39,114_23,0.4,0.4,0.4,0.629,0.743,0.8,0.9125
40,114_50,0.133,0.133,0.133,0.133,0.267,0.267,0.5535
41,114_52,0.321,0.321,0.554,0.711,0.8419,0.875,1.0
42,115_50,0.205,0.205,0.3346,0.4266,0.513,0.5639,0.681
43,120_50,0.356,0.5127,0.634,0.7066,0.7714,0.8352,0.915
44,121_2,0.37,0.37,0.37,0.37,0.63,0.63,0.8935
45,121_38,0.5729,0.6699,0.6919,0.7161,0.7413,0.761,0.79
46,121_48,0.311,0.6082,0.77,0.8698,0.9085,0.9242,0.932
47,122_2,0.357,0.357,0.357,0.643,0.7927,0.857,1.0
48,122_36,0.6,0.6,0.6,0.729,0.8139,0.857,0.9125
49,122_38,0.39,0.7445,0.821,0.8918,0.9192,0.9302,0.9365
50,122_39,0.462,0.462,0.717,0.914,0.97,0.9968,1.0
51,122_45,0.429,0.6623,0.735,0.8102,0.8426,0.8582,0.8655
52,122_46,0.427,0.635,0.8139,0.8826,0.9078,0.9204,0.937
53,122_47,0.476,0.476,0.619,0.6979,0.7523,0.8126,0.8935
54,127_47,0.615,0.615,0.6843,0.7536,0.846,0.923,1.0
55,13_25,0.708,0.7954,0.8135,0.843,0.8725,0.9016,0.9415
56,13_67,0.3449,0.7,0.803,0.889,0.9289,0.952,0.9625
57,131_43,0.144,0.2561,0.358,0.5396,0.6489,0.709,0.776
58,133_41,0.5,0.5,0.5,0.625,0.625,0.625,0.714
59,134_40,0.336,0.6222,0.711,0.804,0.8375,0.8498,0.856
60,134_41,0.496,0.6356,0.6599,0.7018,0.743,0.785,0.8365
61,134_42,0.41,0.5591,0.6776,0.7598,0.8054,0.8318,0.8535
62,135_37,0.111,0.111,0.111,0.111,0.222,0.222,0.4695
63,135_42,0.463,0.5694,0.5975,0.6226,0.6464,0.6702,0.7055
64,135_44,0.4,0.4,0.4,0.6,0.667,0.667,0.796
65,136_36,0.305,0.5689,0.7309,0.8564,0.9239,0.9544,0.969
66,136_37,0.355,0.5079,0.599,0.7166,0.7843,0.821,0.862
67,136_39,0.364,0.364,0.532,0.6296,0.659,0.6958,0.758
68,137_29,0.2,0.2,0.2,0.362,0.488,0.575,0.6885
69,137_37,0.222,0.3787,0.495,0.66,0.7628,0.81,0.8475
70,139_43,0.111,0.111,0.111,0.222,0.2996,0.333,0.5755
71,14_25,0.376,0.6149,0.7378,0.8592,0.9128,0.9402,0.953
72,14_67,0.133,0.133,0.133,0.267,0.4,0.533,0.796
73,140_30,0.214,0.214,0.352,0.4838,0.536,0.5926,0.6899
74,141_22,0.153,0.3303,0.4221,0.5116,0.559,0.586,0.605
75,141_40,0.2859,0.2859,0.2859,0.5,0.6,0.643,0.794
76,141_49,0.132,0.3207,0.4987,0.6816,0.7978,0.8584,0.884
77,141_50,0.144,0.4388,0.6523,0.805,0.8439,0.867,0.88
78,142_15,0.127,0.127,0.23,0.379,0.4603,0.5272,0.615
79,142_16,0.165,0.4919,0.681,0.8514,0.9053,0.9268,0.939
80,142_30,0.15,0.5019,0.6625,0.7984,0.8641,0.908,0.94
81,142_39,0.133,0.133,0.133,0.267,0.4,0.533,0.796
82,142_50,0.306,0.6774,0.7855,0.8536,0.8829,0.9008,0.913
83,143_15,0.287,0.4257,0.5005,0.583,0.6586,0.722,0.8129
84,143_51,0.43,0.5886,0.6946,0.7624,0.8264,0.8912,0.966
85,144_23,0.5,0.5,0.719,0.843,0.869,0.875,0.895
86,144_25,0.375,0.375,0.6,0.745,0.85,0.875,1.0
87,144_30,0.287,0.641,0.7412,0.8236,0.875,0.9096,0.9315
88,144_38,0.125,0.125,0.2267,0.3172,0.425,0.5,0.641
89,144_39,0.274,0.274,0.369,0.4242,0.452,0.4904,0.5569
90,144_41,0.188,0.188,0.188,0.313,0.3563,0.375,0.475
91,144_43,0.271,0.4344,0.5393,0.6556,0.7202,0.7634,0.8055
92,144_50,0.179,0.2996,0.4583,0.6056,0.6858,0.748,0.8025
93,144_57,0.462,0.462,0.673,0.81,0.839,0.846,0.8855
94,145_15,0.267,0.267,0.267,0.267,0.533,0.533,0.9385
95,145_24,0.4,0.4,0.4,0.676,0.853,0.953,1.0
96,145_44,0.132,0.4631,0.6272,0.7674,0.833,0.8626,0.879
97,145_49,0.083,0.1504,0.2062,0.3,0.3699,0.405,0.446
98,145_50,0.167,0.167,0.2939,0.4016,0.517,0.583,0.679
99,145_51,0.212,0.3507,0.5257,0.6836,0.7594,0.8012,0.8174
100,145_58,0.481,0.481,0.6952,0.8014,0.867,0.889,1.0
101,146_25,0.667,0.667,0.667,0.667,0.833,0.833,1.0
102,146_26,0.3,0.3,0.3,0.5,0.5699,0.6,0.7775
103,146_28,0.0859,0.0859,0.171,0.257,0.4031,0.514,0.7
104,146_32,0.083,0.083,0.083,0.167,0.225,0.25,0.4399
105,146_41,0.161,0.2883,0.4897,0.6824,0.7949,0.857,0.8935
106,146_42,0.132,0.4016,0.6064,0.7898,0.8651,0.9006,0.914
107,146_43,0.127,0.2343,0.3291,0.4842,0.614,0.6899,0.758
108,146_51,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
109,147_30,0.111,0.111,0.111,0.111,0.222,0.222,0.4695
110,147_37,0.203,0.6104,0.7772,0.8842,0.9299,0.9472,0.95
111,147_40,0.111,0.2819,0.4089,0.5734,0.6656,0.718,0.756
112,147_41,0.133,0.133,0.133,0.133,0.267,0.267,0.5535
113,147_42,0.091,0.1717,0.2471,0.3806,0.4927,0.5832,0.6839
114,147_56,0.079,0.2668,0.4478,0.6302,0.7192,0.766,0.793
115,147_57,0.343,0.5536,0.6165,0.6796,0.7165,0.7442,0.776
116,147_58,0.327,0.6038,0.7452,0.835,0.8789,0.907,0.929
117,148_33,0.118,0.118,0.118,0.118,0.235,0.235,0.4945
118,148_52,0.113,0.207,0.2912,0.4306,0.556,0.642,0.759
119,148_56,0.073,0.1366,0.1958,0.308,0.414,0.473,0.515
120,148_57,0.131,0.2459,0.3528,0.557,0.756,0.871,0.953
121,148_58,0.356,0.5488,0.67,0.7764,0.8073,0.826,0.8535
122,149_15,0.267,0.267,0.45,0.658,0.7522,0.838,0.9415
123,149_28,0.343,0.343,0.343,0.514,0.5709,0.5709,0.6725
124,149_34,0.415,0.415,0.613,0.761,0.8117,0.846,0.886
125,149_35,0.225,0.4797,0.6413,0.7432,0.7916,0.825,0.848
126,149_55,0.1,0.1,0.1,0.2,0.2699,0.3,0.5225
127,149_56,0.114,0.114,0.114,0.229,0.343,0.457,0.6975
128,149_57,0.077,0.201,0.2965,0.4222,0.489,0.5226,0.544
129,149_58,0.065,0.1267,0.1885,0.312,0.455,0.584,0.7885
130,150_14,0.28,0.28,0.28,0.44,0.52,0.56,0.6525
131,150_32,0.229,0.229,0.229,0.414,0.557,0.657,0.782
132,150_58,0.25,0.25,0.25,0.417,0.475,0.5,0.64
133,150_61,0.267,0.267,0.267,0.267,0.533,0.533,0.9385
134,151_16,0.429,0.429,0.429,0.5709,0.5709,0.5709,0.6915
135,151_40,0.114,0.2947,0.4846,0.6732,0.746,0.7914,0.828
136,152_15,0.19,0.3306,0.5312,0.7302,0.8205,0.8778,0.9185
137,152_56,0.144,0.2599,0.4464,0.6188,0.7187,0.7388,0.7484
138,152_61,0.222,0.222,0.397,0.6144,0.714,0.811,0.9385
139,153_14,0.244,0.4188,0.655,0.8488,0.9036,0.9296,0.9524
140,153_15,0.228,0.7156,0.8416,0.9076,0.9345,0.9534,0.9665
141,153_56,0.083,0.083,0.083,0.167,0.225,0.25,0.4399
142,153_57,0.133,0.133,0.133,0.233,0.3,0.333,0.4054
143,154_13,0.476,0.476,0.714,0.81,0.833,0.833,0.8845
144,154_57,0.215,0.3461,0.4913,0.5841,0.6677,0.7276,0.8055
145,155_13,0.254,0.4174,0.6178,0.7762,0.8223,0.8572,0.8855
146,155_2,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
147,155_29,0.222,0.222,0.222,0.222,0.444,0.444,0.84
148,155_58,0.411,0.6086,0.7054,0.7722,0.7967,0.8176,0.849
149,155_59,0.727,0.9485,0.949,0.949,0.949,0.949,0.9495
150,156_12,0.541,0.674,0.7221,0.7458,0.7632,0.7856,0.8085
151,156_13,0.258,0.9473,0.9762,0.9888,0.9927,0.994,0.994
152,156_26,0.1,0.1,0.1,0.2,0.2699,0.3,0.5225
153,156_44,0.314,0.4926,0.6073,0.7496,0.843,0.9112,0.9755
154,157_10,0.278,0.4404,0.557,0.722,0.8048,0.863,0.8995
155,157_11,0.324,0.6884,0.8286,0.9443,0.9728,0.9816,1.0
156,157_12,0.5,0.7248,0.7861,0.8686,0.9163,0.944,0.961
157,157_13,0.309,0.7261,0.8664,0.9718,0.9941,0.9996,1.0
158,157_24,0.117,0.3324,0.4827,0.6262,0.7251,0.8036,0.863
159,157_25,0.253,0.5099,0.614,0.6866,0.727,0.766,0.8145
160,157_26,0.262,0.6018,0.7289,0.8276,0.8732,0.8994,0.916
161,158_11,0.383,0.6661,0.7889,0.9042,0.9392,0.9528,0.958
162,158_12,0.361,0.5405,0.7021,0.7886,0.8466,0.8722,0.8985
163,158_13,0.244,0.244,0.4285,0.5802,0.738,0.822,0.9125
