,tile_id,SC1,SC2,SC3,SC4,SC5,SC6,SC7
0,0_0,0.198,0.511,0.6767,0.8128,0.8902,0.939,0.9665
1,0_22,0.436,0.6545,0.782,0.884,0.9076,0.9292,0.957
2,0_3,0.093,0.2375,0.3478,0.5004,0.605,0.6854,0.7615
3,0_7,0.083,0.083,0.1586,0.2334,0.333,0.417,0.602
4,0_8,0.227,0.3733,0.486,0.6394,0.7132,0.745,0.7725
5,1_0,0.356,0.356,0.544,0.723,0.8056,0.8672,0.9255
6,1_22,0.33,0.5361,0.685,0.852,0.89,0.9164,0.9484
7,1_23,0.366,0.518,0.6539,0.7622,0.8177,0.8574,0.8895
8,1_9,0.333,0.333,0.5337,0.6624,0.756,0.778,0.854
9,10_17,0.115,0.5228,0.7075,0.8574,0.8986,0.9132,0.92
10,10_18,0.2859,0.8455,0.9078,0.9478,0.9661,0.9772,0.982
11,11_16,0.24,0.6635,0.8084,0.9136,0.9445,0.9614,0.9725
12,11_17,0.155,0.6148,0.772,0.889,0.9265,0.9376,0.94
13,11_6,0.4,0.4,0.4,0.6,0.667,0.667,0.796
14,12_15,0.121,0.2188,0.3023,0.4284,0.523,0.5719,0.6174
15,12_16,0.213,0.4831,0.6401,0.8292,0.9087,0.9502,0.976
16,13_15,0.148,0.364,0.5094,0.6712,0.7566,0.7866,0.8135
17,13_16,0.209,0.4781,0.6342,0.8022,0.8552,0.88,0.8975
18,13_17,0.122,0.4285,0.5967,0.7788,0.8483,0.8712,0.878
19,13_18,0.194,0.194,0.365,0.6104,0.734,0.8406,0.92
20,14_11,0.435,0.7155,0.8004,0.8794,0.9119,0.9298,0.9375
21,14_12,0.594,0.7127,0.7469,0.792,0.8476,0.896,0.959
22,14_15,0.335,0.782,0.8565,0.9016,0.9228,0.9352,0.939
23,14_16,0.317,0.8296,0.9102,0.955,0.9667,0.9726,0.975
24,14_17,0.318,0.8515,0.9055,0.9428,0.9591,0.9692,0.9745
25,14_18,0.2,0.3197,0.4528,0.5432,0.6025,0.6504,0.699
26,15_10,0.308,0.308,0.527,0.677,0.8166,0.879,0.96
27,15_11,0.382,0.6612,0.7469,0.8144,0.8462,0.8684,0.8825
28,15_13,0.05,0.05,0.1,0.19,0.25,0.33,0.4675
29,15_14,0.207,0.6788,0.8035,0.8882,0.9232,0.9388,0.9424
30,15_15,0.239,0.486,0.604,0.7224,0.7871,0.8268,0.8575
31,15_16,0.239,0.639,0.7711,0.8678,0.9025,0.9136,0.9155
32,15_17,0.163,0.7957,0.8675,0.9278,0.9592,0.9748,0.981
33,15_18,0.35,0.7748,0.8478,0.901,0.9275,0.9473,0.9605
34,16_12,0.267,0.267,0.267,0.483,0.65,0.767,0.898
35,16_13,0.033,0.0653,0.0967,0.1602,0.223,0.2868,0.38
36,16_14,0.139,0.4289,0.6536,0.8294,0.9027,0.9306,0.9455
37,16_15,0.37,0.6783,0.823,0.9036,0.9298,0.944,0.954
38,16_16,0.194,0.4367,0.6154,0.7546,0.8371,0.8878,0.916
39,16_17,0.234,0.726,0.7971,0.8742,0.9166,0.9403,0.9484
40,16_18,0.137,0.5714,0.6948,0.7778,0.8139,0.8386,0.856
41,16_19,0.158,0.6547,0.7609,0.8498,0.8936,0.9164,0.927
42,16_2,0.108,0.1992,0.3565,0.5296,0.6511,0.7348,0.804
43,16_9,0.363,0.864,0.9248,0.9572,0.9775,0.9914,1.0
44,17_14,0.256,0.7385,0.8483,0.9218,0.9529,0.9698,0.977
45,17_15,0.207,0.3571,0.5669,0.7236,0.8075,0.8436,0.8845
46,17_16,0.307,0.5915,0.7148,0.8376,0.896,0.9152,0.9285
47,17_19,0.106,0.8414,0.9196,0.9562,0.9681,0.9746,0.978
48,17_2,0.118,0.4439,0.6583,0.8089,0.8502,0.8758,0.8945
49,17_20,0.167,0.8512,0.9334,0.972,0.9814,0.985,0.986
50,17_21,0.403,0.954,0.9773,0.9906,0.995,0.997,0.998
51,17_23,0.171,0.171,0.171,0.343,0.514,0.686,0.9525
52,17_3,0.129,0.7277,0.8676,0.9374,0.9561,0.9636,0.967
53,17_4,0.293,0.8527,0.9182,0.953,0.9705,0.9822,0.9885
54,17_5,0.215,0.8164,0.8904,0.9432,0.9685,0.9812,0.9855
55,17_6,0.312,0.7028,0.8453,0.9232,0.9498,0.956,0.96
56,17_7,0.307,0.7845,0.9103,0.9504,0.9577,0.9626,0.9665
57,17_8,0.301,0.64,0.8504,0.9506,0.9724,0.9806,1.0
58,18_0,0.239,0.3967,0.5985,0.7828,0.8591,0.8858,0.8975
59,18_1,0.057,0.1073,0.1523,0.2304,0.2912,0.3354,0.378
60,18_14,0.189,0.3286,0.532,0.7484,0.8442,0.8826,0.8965
61,18_15,0.326,0.9082,0.9368,0.9612,0.9731,0.9802,0.983
62,18_18,0.354,0.7051,0.8447,0.9336,0.9561,0.9692,0.9765
63,18_19,0.107,0.3415,0.4996,0.6788,0.7502,0.7946,0.8274
64,18_2,0.2039,0.546,0.703,0.8348,0.8972,0.9318,0.948
65,18_20,0.176,0.7308,0.8546,0.9368,0.9625,0.9748,0.98
66,18_21,0.359,0.9937,0.9969,0.999,1.0,1.0,1.0
67,18_23,0.044,0.044,0.044,0.089,0.133,0.178,0.284
68,18_3,0.361,0.8728,0.9344,0.9652,0.9764,0.9816,0.9835
69,19_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,19_1,0.112,0.4183,0.5915,0.7554,0.8314,0.8796,0.913
71,19_14,0.15,0.369,0.5706,0.7194,0.7746,0.7938,0.8025
72,19_15,0.402,0.908,0.9476,0.9656,0.9714,0.9746,0.977
73,19_2,0.0869,0.1639,0.3041,0.4734,0.6039,0.7036,0.8025
74,19_20,0.132,0.7138,0.8533,0.9214,0.9428,0.9584,0.9685
75,19_21,0.2849,0.9876,0.9928,0.9968,0.9987,0.999,1.0
76,19_22,0.2859,0.2859,0.2859,0.529,0.729,0.886,1.0
77,19_23,0.052,0.052,0.104,0.156,0.2443,0.312,0.434
78,19_4,0.393,0.5677,0.5989,0.6416,0.6752,0.6983,0.7135
79,2_0,0.152,0.152,0.2717,0.377,0.497,0.576,0.7104
80,2_16,0.238,0.238,0.427,0.5928,0.781,0.905,1.0
81,2_21,0.144,0.2561,0.358,0.5396,0.6489,0.709,0.776
82,2_22,0.1429,0.2475,0.3295,0.451,0.5388,0.595,0.6755
83,2_23,0.294,0.673,0.7918,0.8666,0.9043,0.9262,0.937
84,20_1,0.0709,0.0709,0.0709,0.1429,0.1926,0.214,0.3804
85,20_13,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
86,20_20,0.081,0.1503,0.218,0.3602,0.4663,0.534,0.626
87,20_21,0.185,0.4121,0.5357,0.6482,0.6955,0.7126,0.723
88,20_23,0.168,0.282,0.427,0.531,0.5854,0.6242,0.6685
89,20_5,0.701,0.8356,0.8807,0.919,0.9317,0.933,0.9404
90,20_6,0.25,0.25,0.25,0.5,0.6749,0.75,1.0
91,21_1,0.183,0.4198,0.5579,0.7008,0.7735,0.8236,0.868
92,21_14,0.333,0.333,0.5301,0.6592,0.762,0.81,0.9065
93,21_6,0.329,0.6692,0.8106,0.91,0.9407,0.9598,0.974
94,21_7,0.222,0.3911,0.542,0.8,0.9036,0.9616,1.0
95,22_1,0.083,0.083,0.083,0.167,0.225,0.25,0.4399
96,22_2,0.365,0.6998,0.8083,0.8502,0.8631,0.8748,0.8865
97,22_7,0.254,0.5927,0.7356,0.8682,0.919,0.9352,0.9404
98,23_1,0.111,0.111,0.111,0.111,0.222,0.222,0.4695
99,23_2,0.192,0.3259,0.434,0.594,0.6573,0.7024,0.746
100,24_1,0.205,0.3532,0.5619,0.7512,0.8017,0.8242,0.836
101,24_19,0.167,0.167,0.312,0.542,0.6683,0.7416,0.786
102,24_23,0.1,0.1,0.1,0.2,0.2699,0.3,0.5225
103,25_0,0.2859,0.2859,0.454,0.545,0.606,0.63,0.6705
104,25_15,0.257,0.257,0.443,0.5689,0.6739,0.7,0.754
105,25_23,0.158,0.2872,0.3975,0.583,0.7208,0.779,0.812
106,26_0,0.367,0.5627,0.6711,0.763,0.7892,0.798,0.8095
107,26_17,0.251,0.8345,0.9067,0.9524,0.9701,0.9786,0.981
108,26_18,0.19,0.4162,0.5322,0.6298,0.6862,0.7191,0.751
109,26_20,0.333,0.333,0.5436,0.6934,0.833,0.917,1.0
110,26_21,0.449,0.6694,0.8511,0.9056,0.9164,0.9222,0.929
111,26_23,0.057,0.057,0.057,0.114,0.171,0.229,0.3635
112,26_4,0.773,0.773,0.9368,0.991,1.0,1.0,1.0
113,27_0,0.208,0.208,0.208,0.375,0.4624,0.5,0.6819
114,27_18,0.303,0.5091,0.7656,0.9106,0.9463,0.947,1.0
115,27_19,0.251,0.9522,0.9744,0.9838,0.9877,0.99,0.991
116,27_20,0.291,0.9014,0.9435,0.971,0.9824,0.9876,0.99
117,27_21,0.295,0.9729,0.9865,0.9938,0.996,0.997,0.997
118,27_22,0.2829,0.9831,0.9917,0.995,0.9967,0.997,0.997
119,27_23,0.136,0.136,0.234,0.3302,0.357,0.364,0.4014
120,28_19,0.25,0.948,0.9731,0.9886,0.9927,0.995,0.996
121,28_20,0.23,0.8842,0.9401,0.974,0.9844,0.9896,0.992
122,28_21,0.244,0.9957,0.9979,0.999,0.999,0.999,0.999
123,28_22,0.241,0.9925,0.9959,0.998,0.999,0.999,0.999
124,29_19,0.301,0.7723,0.8555,0.9224,0.9532,0.9682,0.9725
125,29_20,0.31,0.943,0.9759,0.9906,0.9947,0.997,0.998
126,29_21,0.194,0.9851,0.9928,0.9958,0.9967,0.997,0.997
127,29_22,0.175,0.9285,0.958,0.9746,0.9807,0.984,0.986
128,29_23,0.393,0.6029,0.8094,0.9118,0.9478,0.952,1.0
129,3_16,0.177,0.8067,0.8972,0.9386,0.9551,0.9662,0.972
130,3_22,0.525,0.525,0.675,0.7,0.7,0.7,0.748
131,3_7,0.25,0.25,0.25,0.417,0.475,0.5,0.64
132,30_19,0.263,0.7144,0.8177,0.8682,0.8932,0.9084,0.9195
133,30_20,0.26,0.9313,0.9589,0.9802,0.9884,0.993,0.995
134,30_21,0.245,0.744,0.8465,0.907,0.9335,0.9462,0.9515
135,30_22,0.147,0.9454,0.9712,0.9838,0.9887,0.9916,0.993
136,30_23,0.227,0.7473,0.8455,0.9148,0.9424,0.9578,0.966
137,31_19,0.302,0.7901,0.8673,0.9232,0.9391,0.9452,0.948
138,31_20,0.275,0.9146,0.9488,0.9724,0.9824,0.9876,0.989
139,31_22,0.306,0.4893,0.6753,0.7433,0.75,0.75,0.7615
140,31_23,0.14,0.7742,0.8627,0.927,0.9524,0.9684,0.977
141,31_5,0.242,0.9099,0.9438,0.968,0.9811,0.9902,0.995
142,31_6,0.206,0.3513,0.4598,0.615,0.7206,0.776,0.831
143,32_19,0.287,0.8588,0.9043,0.9416,0.9618,0.9742,0.981
144,32_20,0.295,0.4422,0.5743,0.6454,0.6932,0.7136,0.7355
145,32_23,0.214,0.6867,0.779,0.8572,0.8926,0.915,0.9275
146,32_4,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
147,32_5,0.245,0.798,0.894,0.9463,0.9631,0.9712,0.973
148,33_19,0.395,0.8378,0.8783,0.918,0.9454,0.9638,0.9735
149,33_20,0.292,0.292,0.4639,0.5766,0.667,0.708,0.8009
150,33_23,0.2039,0.666,0.7846,0.8608,0.8912,0.9084,0.9195
151,33_5,0.11,0.5843,0.7527,0.864,0.9006,0.9194,0.9305
152,33_6,0.095,0.095,0.1805,0.2668,0.381,0.476,0.681
153,34_17,0.427,0.7799,0.8663,0.922,0.9421,0.9522,0.957
154,34_18,0.137,0.3884,0.5182,0.6498,0.7309,0.7852,0.826
155,34_19,0.399,0.7282,0.82,0.8572,0.8721,0.8868,0.9005
156,34_23,0.16,0.4531,0.6188,0.8048,0.8976,0.9282,0.9355
157,34_6,0.091,0.1689,0.2378,0.353,0.4341,0.4838,0.5135
158,34_7,0.12,0.12,0.214,0.339,0.3985,0.4372,0.486
159,35_10,0.308,0.7173,0.804,0.8542,0.8927,0.9246,0.9484
160,35_11,0.151,0.2583,0.4094,0.5398,0.6241,0.689,0.758
161,35_15,0.114,0.114,0.114,0.229,0.343,0.457,0.6975
162,35_16,0.109,0.1992,0.2769,0.404,0.515,0.594,0.714
163,35_7,0.714,0.7824,0.786,0.786,0.786,0.786,0.812
164,35_9,0.2,0.2,0.2,0.35,0.45,0.5,0.618
165,36_9,0.247,0.5683,0.7174,0.8182,0.8629,0.8814,0.8905
166,37_11,0.0709,0.0709,0.1429,0.214,0.3356,0.429,0.5895
167,37_15,0.1429,0.1429,0.2456,0.3258,0.4,0.429,0.5115
168,37_7,0.291,0.291,0.291,0.473,0.582,0.655,0.8075
169,38_16,0.21,0.3572,0.479,0.659,0.7443,0.788,0.837
170,38_17,0.386,0.5588,0.6445,0.715,0.744,0.75,0.771
171,38_7,0.254,0.254,0.444,0.584,0.7391,0.825,0.942
172,4_22,0.309,0.7156,0.8012,0.879,0.9176,0.9403,0.9524
173,4_8,0.461,0.6875,0.7703,0.863,0.9163,0.9496,0.969
174,40_0,0.333,0.5477,0.694,0.8566,0.9231,0.9428,1.0
175,40_12,0.412,0.8166,0.8899,0.9326,0.9488,0.9618,0.9715
176,40_13,0.381,0.381,0.613,0.832,0.8986,0.9266,1.0
177,40_14,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
178,40_15,0.374,0.8061,0.8823,0.9342,0.9541,0.9622,0.966
179,40_16,0.169,0.5369,0.712,0.8238,0.8679,0.8962,0.915
180,40_2,0.167,0.167,0.167,0.167,0.333,0.333,0.6719
181,41_0,0.222,0.222,0.222,0.411,0.5669,0.6889,0.864
182,41_14,0.3,0.3,0.3,0.5,0.5699,0.6,0.7775
183,42_15,0.615,0.615,0.6843,0.7536,0.846,0.923,1.0
184,43_14,0.144,0.2561,0.358,0.5396,0.6489,0.709,0.776
185,44_13,0.406,0.6951,0.7788,0.8552,0.8855,0.9034,0.9145
186,44_14,0.41,0.5591,0.6776,0.7598,0.8054,0.8318,0.8535
187,45_12,0.203,0.6193,0.7737,0.894,0.9419,0.9598,0.965
188,45_13,0.277,0.4375,0.536,0.632,0.6725,0.6899,0.721
189,45_14,0.382,0.6192,0.706,0.7726,0.805,0.8314,0.855
190,45_9,0.2,0.2,0.2,0.362,0.488,0.575,0.6885
191,46_10,0.13,0.2316,0.3935,0.5546,0.6986,0.78,0.86
192,46_14,0.0709,0.0709,0.1429,0.214,0.3356,0.429,0.5895
193,46_15,0.1429,0.1429,0.2456,0.3258,0.4,0.429,0.5115
194,46_16,0.114,0.114,0.218,0.3792,0.471,0.569,0.695
195,47_10,0.162,0.5665,0.712,0.8234,0.8788,0.9144,0.934
196,47_13,0.235,0.3974,0.5158,0.6566,0.736,0.781,0.8515
197,47_16,0.18,0.7647,0.8609,0.9134,0.9328,0.9422,0.9464
198,47_17,0.43,0.5886,0.6946,0.7624,0.8264,0.8912,0.966
199,47_5,0.161,0.6159,0.7853,0.9076,0.9405,0.9532,0.9605
200,47_6,0.042,0.042,0.0789,0.1166,0.167,0.208,0.308
201,47_7,0.137,0.3024,0.4278,0.5422,0.6086,0.6622,0.7035
202,48_10,0.265,0.6433,0.7442,0.8266,0.8777,0.9118,0.933
203,48_12,0.135,0.2452,0.341,0.4954,0.624,0.708,0.8195
204,48_13,0.159,0.4319,0.5858,0.776,0.8728,0.9356,0.9775
205,48_14,0.113,0.6494,0.7973,0.8852,0.9078,0.9182,0.924
206,48_16,0.115,0.3904,0.5225,0.6436,0.7097,0.7544,0.783
207,48_17,0.165,0.4534,0.5955,0.722,0.7835,0.8236,0.851
208,48_19,0.48,0.8057,0.8779,0.896,0.897,0.897,0.903
209,48_5,0.167,0.167,0.3164,0.4666,0.667,0.833,1.0
210,48_7,0.5,0.5,0.719,0.843,0.869,0.875,0.895
211,48_8,0.1739,0.4664,0.6077,0.7504,0.8365,0.8914,0.9195
212,48_9,0.2,0.332,0.4263,0.556,0.6567,0.733,0.841
213,49_10,0.1,0.1,0.1,0.2,0.3,0.4,0.618
214,49_11,0.235,0.5562,0.6407,0.7354,0.7957,0.8378,0.8645
215,49_12,0.194,0.6458,0.7911,0.8968,0.9369,0.9502,0.952
216,49_13,0.097,0.2532,0.4174,0.5862,0.6764,0.7176,0.739
217,49_14,0.091,0.1717,0.2471,0.3806,0.4927,0.5832,0.6839
218,49_17,0.128,0.2249,0.3686,0.498,0.5787,0.6426,0.721
219,49_18,0.054,0.3033,0.4882,0.6652,0.7564,0.8162,0.8535
220,49_19,0.135,0.6489,0.7782,0.8678,0.9059,0.9274,0.9375
221,49_5,0.267,0.267,0.45,0.658,0.7522,0.838,0.9415
222,49_9,0.1409,0.1409,0.253,0.401,0.4707,0.517,0.574
223,5_22,0.217,0.4356,0.533,0.6282,0.689,0.7304,0.756
224,50_10,0.2,0.2,0.357,0.5526,0.643,0.73,0.856
225,50_13,0.114,0.2947,0.4846,0.6732,0.746,0.7914,0.828
226,50_18,0.122,0.3154,0.4583,0.6336,0.7103,0.7383,0.7544
227,50_19,0.0859,0.0859,0.157,0.214,0.2772,0.3,0.3469
228,50_20,0.326,0.6107,0.7244,0.8366,0.9021,0.9392,0.959
